#=====================================================
# File created:        Sun-10-Mar-2024-at-07-32-32PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.652785
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2485.2751  0.2641 
   00001    0.6728   -3687.4119  0.2826 
   00002    0.6196   -4508.1716  0.2850 
   00003    0.5900   -5149.6410  0.2774 
   00004    0.5404   -5594.7022  0.2851 
   00005    0.5380   -5929.0568  0.2820 
   00006    0.4984   -6175.8098  0.2937 
   00007    0.4984   -6371.6518  0.2840 
   00008    0.5000   -6536.4500  0.2833 
   00009    0.4808   -6712.9115  0.2841 
   00010    0.4864   -6789.4754  0.2824 
   00011    0.4876   -6945.3947  0.2844 
   00012    0.4632   -7109.6297  0.2931 
   00013    0.4652   -7164.9252  0.2934 
   00014    0.4740   -7315.4424  0.2933 
   00015    0.4600   -7413.9053  0.2915 
   00016    0.4416   -7451.9735  0.2917 
   00017    0.4572   -7490.2078  0.3004 
   00018    0.4608   -7508.9747  0.3084 
   00019    0.4568   -7565.8455  0.3095 
   00020    0.4692   -7569.0353  0.3116 
   00021    0.4552   -7604.4381  0.3037 
   00022    0.4452   -7610.1548  0.3070 
   00023    0.4544   -7680.4832  0.3069 
   00024    0.4396   -7712.5533  0.3098 
   00025    0.4492   -7690.2759  0.3110 
   00026    0.4332   -7721.9563  0.3121 
   00027    0.4432   -7743.3366  0.3075 
   00028    0.4588   -7778.0608  0.3033 
   00029    0.4336   -7804.4632  0.3119 
   00030    0.4396   -7818.4227  0.3087 
   00031    0.4332   -7852.0189  0.3120 
   00032    0.4284   -7862.8377  0.3118 
   00033    0.4404   -7840.0257  0.3158 
   00034    0.4328   -7848.2958  0.3144 
   00035    0.4220   -7873.5454  0.3116 
   00036    0.4232   -7939.2601  0.3155 
   00037    0.4292   -7948.0758  0.3153 
   00038    0.4284   -7918.8668  0.3124 
   00039    0.4364   -7949.3616  0.3231 
   00040    0.4360   -7989.9533  0.3185 
   00041    0.4276   -7969.4805  0.3273 
   00042    0.4256   -7977.9675  0.3303 
   00043    0.4352   -7949.3351  0.3278 
   00044    0.4336   -8006.8393  0.3231 
   00045    0.4176   -8005.2073  0.3214 
   00046    0.4320   -7993.5285  0.3211 
   00047    0.4316   -8028.6188  0.3262 
   00048    0.4252   -8022.3556  0.3193 
   00049    0.4248   -8041.7713  0.3173 
   00050    0.4264   -8063.6040  0.3136 
