#=====================================================
# File created:        Mon-11-Mar-2024-at-08-06-06AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        12.927821
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2542.9690  0.2594 
   00001    0.6728   -3797.9138  0.2520 
   00002    0.6032   -4491.8033  0.2626 
   00003    0.5852   -4920.2464  0.2630 
   00004    0.5536   -5366.8533  0.2710 
   00005    0.5056   -5690.8348  0.2844 
   00006    0.5092   -5929.2225  0.2931 
   00007    0.5136   -6031.9832  0.2931 
   00008    0.5016   -6150.7936  0.2919 
   00009    0.4940   -6327.8872  0.2962 
   00010    0.4884   -6413.9591  0.3044 
   00011    0.4664   -6526.6339  0.3129 
   00012    0.4684   -6617.8069  0.3154 
   00013    0.4660   -6667.1254  0.3162 
   00014    0.4880   -6709.5995  0.3306 
   00015    0.4760   -6772.2307  0.3327 
   00016    0.4628   -6824.8621  0.3440 
   00017    0.4432   -6921.9118  0.3449 
   00018    0.4368   -6980.0060  0.3533 
   00019    0.4384   -6987.2521  0.3529 
   00020    0.4368   -7087.3748  0.3662 
   00021    0.4508   -7133.5487  0.3714 
   00022    0.4304   -7138.1607  0.3668 
   00023    0.4280   -7238.7792  0.3731 
   00024    0.4332   -7298.4235  0.3832 
   00025    0.4252   -7327.8448  0.3842 
   00026    0.4256   -7338.4326  0.3954 
   00027    0.4532   -7366.2756  0.4016 
   00028    0.4264   -7355.0359  0.4019 
   00029    0.4180   -7345.5889  0.3980 
   00030    0.4440   -7386.0002  0.4000 
   00031    0.4240   -7424.1021  0.4060 
   00032    0.4364   -7425.9897  0.4054 
   00033    0.4352   -7479.1914  0.4111 
   00034    0.4340   -7456.1457  0.4131 
   00035    0.4296   -7507.6967  0.4125 
   00036    0.4244   -7495.3812  0.4124 
   00037    0.4400   -7444.9769  0.4162 
   00038    0.4156   -7465.5615  0.4130 
   00039    0.4116   -7527.5030  0.4170 
   00040    0.4420   -7504.4537  0.4183 
   00041    0.4192   -7500.5940  0.4222 
   00042    0.4200   -7497.2509  0.4246 
   00043    0.4272   -7600.8032  0.4371 
   00044    0.4288   -7633.4612  0.4375 
   00045    0.4180   -7636.1944  0.4365 
   00046    0.4156   -7640.8861  0.4374 
   00047    0.4248   -7660.7641  0.4371 
   00048    0.4392   -7684.1465  0.4352 
   00049    0.4100   -7612.8890  0.4359 
   00050    0.4240   -7568.8080  0.4389 
   00051    0.4112   -7597.4328  0.4425 
   00052    0.4328   -7622.6166  0.4478 
   00053    0.4232   -7606.8269  0.4565 
   00054    0.4108   -7584.7280  0.4507 
   00055    0.4248   -7628.2097  0.4574 
   00056    0.4232   -7662.2176  0.4574 
   00057    0.4196   -7654.2413  0.4639 
   00058    0.4108   -7648.6104  0.4684 
   00059    0.4104   -7656.7744  0.4704 
   00060    0.4212   -7638.6843  0.4696 
   00061    0.4056   -7681.5644  0.4797 
   00062    0.4088   -7705.8861  0.4756 
   00063    0.4236   -7704.0666  0.4881 
   00064    0.4040   -7729.8027  0.4872 
   00065    0.4248   -7690.9214  0.4853 
   00066    0.4152   -7764.7910  0.4929 
   00067    0.4008   -7774.9146  0.5009 
   00068    0.3976   -7812.1458  0.4992 
   00069    0.4076   -7801.4645  0.5014 
   00070    0.4088   -7731.5731  0.5016 
   00071    0.4016   -7717.1890  0.4988 
   00072    0.4156   -7698.1017  0.4993 
   00073    0.4112   -7720.4799  0.4981 
   00074    0.4288   -7766.0961  0.4955 
   00075    0.4072   -7780.3694  0.4986 
   00076    0.3952   -7809.3503  0.5054 
   00077    0.4004   -7848.7325  0.5046 
   00078    0.3984   -7880.0022  0.5017 
   00079    0.4132   -7871.3837  0.5065 
   00080    0.3996   -7824.7294  0.5068 
   00081    0.4164   -7897.5353  0.5094 
   00082    0.4004   -7853.2525  0.5065 
   00083    0.4052   -7812.6002  0.5032 
   00084    0.4220   -7830.0628  0.5093 
   00085    0.3868   -7835.2603  0.5084 
   00086    0.4172   -7805.9428  0.5079 
   00087    0.4180   -7727.3338  0.5153 
   00088    0.4000   -7817.9168  0.5156 
   00089    0.4176   -7822.4266  0.5175 
   00090    0.4068   -7820.9986  0.5162 
   00091    0.4056   -7804.3907  0.5210 
   00092    0.4156   -7774.6010  0.5165 
   00093    0.4272   -7797.7493  0.5219 
   00094    0.4112   -7808.5788  0.5188 
   00095    0.4240   -7900.9871  0.5192 
   00096    0.4076   -7890.5669  0.5233 
   00097    0.4100   -7867.7355  0.5253 
   00098    0.4080   -7877.2152  0.5296 
   00099    0.4108   -7874.1328  0.5318 
   00100    0.4048   -7839.0824  0.5292 
   00101    0.4048   -7900.9912  0.5326 
   00102    0.4056   -7864.6395  0.5387 
   00103    0.4056   -7788.8474  0.5355 
   00104    0.3856   -7786.3705  0.5384 
   00105    0.4080   -7758.8644  0.5376 
   00106    0.3956   -7799.5755  0.5326 
   00107    0.4116   -7829.2039  0.5249 
   00108    0.4052   -7809.3151  0.5233 
   00109    0.3980   -7802.3361  0.5215 
   00110    0.4172   -7817.6989  0.5260 
   00111    0.3984   -7805.1089  0.5350 
   00112    0.4152   -7864.1373  0.5352 
   00113    0.4120   -7877.8039  0.5352 
   00114    0.4120   -7830.6766  0.5322 
   00115    0.4136   -7806.3100  0.5300 
   00116    0.4128   -7849.2450  0.5332 
   00117    0.4060   -7836.2979  0.5348 
   00118    0.4016   -7864.2903  0.5337 
   00119    0.4076   -7805.6247  0.5342 
   00120    0.4140   -7742.0045  0.5355 
   00121    0.4044   -7819.0744  0.5404 
   00122    0.3968   -7861.3851  0.5434 
   00123    0.3992   -7802.7994  0.5427 
   00124    0.4288   -7789.5659  0.5406 
   00125    0.4104   -7815.2012  0.5409 
   00126    0.4256   -7842.6807  0.5426 
   00127    0.4036   -7854.9017  0.5429 
   00128    0.4016   -7826.5785  0.5441 
   00129    0.3988   -7794.2745  0.5396 
   00130    0.3996   -7847.7231  0.5379 
   00131    0.4120   -7859.8698  0.5453 
   00132    0.4100   -7889.8893  0.5401 
   00133    0.4052   -7898.0557  0.5398 
   00134    0.4056   -7857.0154  0.5374 
   00135    0.4060   -7837.4540  0.5337 
   00136    0.4044   -7861.2715  0.5405 
   00137    0.4068   -7865.2081  0.5442 
   00138    0.4108   -7801.7423  0.5366 
   00139    0.4272   -7770.5242  0.5400 
   00140    0.3984   -7786.6606  0.5374 
   00141    0.4260   -7792.9344  0.5368 
   00142    0.4032   -7821.3751  0.5388 
   00143    0.4044   -7841.8730  0.5394 
   00144    0.4216   -7866.3145  0.5445 
   00145    0.4152   -7853.7493  0.5405 
   00146    0.4208   -7809.6679  0.5391 
   00147    0.4156   -7815.1729  0.5344 
   00148    0.4092   -7821.9283  0.5339 
   00149    0.4132   -7782.3997  0.5260 
   00150    0.4140   -7734.4796  0.5233 
   00151    0.4200   -7747.1936  0.5213 
   00152    0.4140   -7720.0032  0.5251 
   00153    0.4108   -7797.1972  0.5229 
   00154    0.4092   -7835.6035  0.5201 
   00155    0.4064   -7817.9697  0.5248 
   00156    0.4144   -7771.2074  0.5278 
   00157    0.4048   -7723.5307  0.5269 
   00158    0.4128   -7681.2068  0.5320 
   00159    0.4156   -7713.3412  0.5339 
   00160    0.4108   -7653.2683  0.5258 
   00161    0.4156   -7716.0151  0.5312 
   00162    0.4024   -7766.3719  0.5308 
   00163    0.4148   -7814.4793  0.5409 
   00164    0.4268   -7807.1737  0.5437 
   00165    0.3968   -7852.6192  0.5406 
   00166    0.4104   -7864.5438  0.5408 
   00167    0.4060   -7829.8173  0.5366 
   00168    0.4220   -7828.8021  0.5395 
   00169    0.4108   -7883.4761  0.5581 
   00170    0.4156   -7856.0454  0.5585 
   00171    0.4116   -7944.9349  0.5665 
   00172    0.4000   -7921.6357  0.5570 
   00173    0.4072   -7939.7507  0.5588 
   00174    0.3968   -7868.4887  0.5609 
   00175    0.4112   -7900.3420  0.5676 
   00176    0.4364   -7833.7350  0.5660 
   00177    0.4104   -7836.5764  0.5697 
   00178    0.4244   -7840.3297  0.5695 
   00179    0.4184   -7843.6547  0.5843 
   00180    0.3948   -7795.1727  0.5818 
   00181    0.4160   -7734.8557  0.5740 
   00182    0.3952   -7807.1066  0.5782 
   00183    0.4020   -7823.2345  0.5747 
   00184    0.4048   -7836.6957  0.5765 
   00185    0.4232   -7899.1080  0.5812 
   00186    0.4012   -7910.3911  0.5800 
   00187    0.4048   -7927.6217  0.5792 
   00188    0.3972   -7887.0107  0.5720 
   00189    0.4032   -7882.8225  0.5746 
   00190    0.4040   -7888.4010  0.5712 
   00191    0.3956   -7906.9311  0.5739 
   00192    0.3968   -7864.0184  0.5663 
   00193    0.4192   -7877.1774  0.5633 
   00194    0.4056   -7929.9862  0.5694 
   00195    0.3948   -7907.8907  0.5787 
   00196    0.4216   -7815.8825  0.5766 
   00197    0.4040   -7889.0843  0.5819 
   00198    0.4200   -7884.7721  0.5763 
   00199    0.4024   -7872.4189  0.5714 
   00200    0.4016   -7877.4528  0.5771 
   00201    0.4224   -7919.2213  0.5735 
   00202    0.4048   -7908.4641  0.5719 
   00203    0.3928   -7924.4932  0.5772 
   00204    0.4032   -7961.4334  0.5769 
   00205    0.4072   -7951.6026  0.5676 
   00206    0.4048   -7962.2787  0.5684 
   00207    0.4004   -7946.7980  0.5718 
   00208    0.3976   -7883.9365  0.5701 
   00209    0.3944   -7851.6236  0.5594 
   00210    0.4256   -7829.5782  0.5638 
   00211    0.4092   -7779.5590  0.5705 
   00212    0.4092   -7817.8730  0.5731 
   00213    0.4260   -7854.7547  0.5763 
   00214    0.4108   -7860.1906  0.5730 
   00215    0.4140   -7900.8151  0.5770 
   00216    0.4280   -7897.4397  0.5748 
   00217    0.3872   -7907.1513  0.5848 
   00218    0.4116   -7912.0296  0.5927 
   00219    0.4080   -7935.6290  0.5952 
   00220    0.3984   -7859.3544  0.5901 
   00221    0.4120   -7845.2698  0.5896 
   00222    0.4096   -7904.0731  0.5958 
   00223    0.4052   -7934.0818  0.5972 
   00224    0.3976   -7894.3958  0.6004 
   00225    0.4040   -7926.6944  0.5979 
   00226    0.4128   -7947.5104  0.6017 
