#=====================================================
# File created:        Tue-12-Mar-2024-at-08-55-59AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.754862
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2559.2912  0.2610 
   00001    0.6764   -3742.1103  0.2560 
   00002    0.6220   -4481.2946  0.2587 
   00003    0.5848   -4996.4157  0.2575 
   00004    0.5544   -5406.2624  0.2629 
   00005    0.5428   -5762.6774  0.2568 
   00006    0.5128   -6011.6533  0.2552 
   00007    0.5148   -6245.9236  0.2647 
   00008    0.5044   -6452.9069  0.2671 
   00009    0.5112   -6646.9571  0.2662 
   00010    0.4832   -6753.9816  0.2704 
   00011    0.4720   -6904.1427  0.2695 
   00012    0.4816   -6948.9520  0.2721 
   00013    0.4640   -7019.3908  0.2793 
   00014    0.4840   -7111.1810  0.2741 
   00015    0.4436   -7185.3373  0.2673 
   00016    0.4568   -7252.2485  0.2615 
   00017    0.4680   -7311.4955  0.2608 
   00018    0.4516   -7348.4438  0.2652 
   00019    0.4588   -7379.8379  0.2661 
   00020    0.4568   -7476.6489  0.2620 
   00021    0.4588   -7524.7815  0.2571 
   00022    0.4608   -7556.8855  0.2640 
   00023    0.4404   -7592.0950  0.2640 
   00024    0.4520   -7655.7481  0.2727 
   00025    0.4396   -7688.3234  0.2677 
   00026    0.4576   -7688.7916  0.2665 
   00027    0.4536   -7682.8006  0.2662 
   00028    0.4372   -7751.7758  0.2707 
   00029    0.4296   -7786.5722  0.2776 
   00030    0.4336   -7793.0750  0.2750 
   00031    0.4544   -7814.0041  0.2713 
   00032    0.4436   -7821.3719  0.2726 
   00033    0.4344   -7854.0712  0.2791 
   00034    0.4432   -7878.5394  0.2753 
   00035    0.4192   -7928.7080  0.2696 
   00036    0.4148   -7966.5345  0.2744 
   00037    0.4312   -7960.8917  0.2679 
   00038    0.4320   -7990.6761  0.2630 
   00039    0.4248   -8013.5701  0.2627 
   00040    0.4072   -8045.1825  0.2658 
   00041    0.4216   -8030.3213  0.2712 
   00042    0.4360   -8077.5566  0.2715 
   00043    0.4332   -8081.8155  0.2661 
   00044    0.4252   -8074.9097  0.2625 
   00045    0.4236   -8057.9739  0.2664 
   00046    0.4324   -8096.1744  0.2609 
   00047    0.4160   -8115.5661  0.2669 
   00048    0.4180   -8084.6048  0.2674 
   00049    0.4352   -8113.2159  0.2728 
   00050    0.4196   -8074.4353  0.2817 
