LebwohlLasher9.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 0.754862 s
         1054548 function calls (1039762 primitive calls) in 1.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    290/1    0.002    0.000    1.471    1.471 {built-in method builtins.exec}
        1    0.000    0.000    1.471    1.471 LebwohlLasher9.py:1(<module>)
        1    0.005    0.005    0.775    0.775 LebwohlLasher9.py:261(main)
    350/4    0.001    0.000    0.695    0.174 <frozen importlib._bootstrap>:1165(_find_and_load)
    346/4    0.001    0.000    0.695    0.174 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    331/5    0.001    0.000    0.694    0.139 <frozen importlib._bootstrap>:666(_load_unlocked)
   839/10    0.000    0.000    0.693    0.069 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       36    0.001    0.000    0.529    0.015 __init__.py:1(<module>)
       51    0.523    0.010    0.525    0.010 LebwohlLasher9.py:186(get_order)
    281/4    0.000    0.000    0.436    0.109 <frozen importlib._bootstrap_external>:934(exec_module)
   441/15    0.000    0.000    0.411    0.027 {built-in method builtins.__import__}
   463/56    0.000    0.000    0.387    0.007 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      331    0.000    0.000    0.285    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
       46    0.000    0.000    0.281    0.006 <frozen importlib._bootstrap_external>:1231(create_module)
       46    0.281    0.006    0.281    0.006 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.269    0.269 pyplot.py:1(<module>)
       50    0.168    0.003    0.245    0.005 LebwohlLasher9.py:214(MC_step)
1115/1006    0.008    0.000    0.202    0.000 {built-in method builtins.__build_class__}
      100    0.000    0.000    0.151    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.149    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.128    0.128 figure.py:1(<module>)
      112    0.000    0.000    0.119    0.001 artist.py:1841(kwdoc)
        1    0.000    0.000    0.114    0.114 colorbar.py:1(<module>)
      281    0.001    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      112    0.003    0.000    0.101    0.001 artist.py:1602(pprint_setters)
     4050    0.006    0.000    0.083    0.000 artist.py:1474(get_valid_values)
      281    0.000    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    94435    0.074    0.000    0.074    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.066    0.066 contour.py:1(<module>)
        1    0.000    0.000    0.063    0.063 backend_bases.py:1(<module>)
        1    0.000    0.000    0.058    0.058 rcsetup.py:1(<module>)
     6793    0.036    0.000    0.058    0.000 inspect.py:867(cleandoc)
     6764    0.003    0.000    0.054    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.051    0.051 text.py:1(<module>)
      281    0.045    0.000    0.045    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.043    0.043 collections.py:1(<module>)
        1    0.000    0.000    0.042    0.042 _axes.py:1(<module>)
      213    0.000    0.000    0.039    0.000 artist.py:1426(__init__)
      213    0.006    0.000    0.038    0.000 artist.py:1446(get_aliases)
        1    0.000    0.000    0.035    0.035 colors.py:1(<module>)
        1    0.000    0.000    0.034    0.034 patches.py:1(<module>)
      281    0.033    0.000    0.033    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.030    0.030 _base.py:1(<module>)
     7084    0.003    0.000    0.025    0.000 __init__.py:272(_compile)
      213    0.008    0.000    0.025    0.000 artist.py:1521(get_setters)
        1    0.000    0.000    0.024    0.024 axes3d.py:1(<module>)
        3    0.000    0.000    0.024    0.008 core.py:1(<module>)
     5304    0.002    0.000    0.024    0.000 __init__.py:173(search)
      342    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
      281    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      197    0.000    0.000    0.021    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
      281    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
       30    0.006    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
      339    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  340/339    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.018    0.018 Image.py:1(<module>)
      132    0.000    0.000    0.016    0.000 _docstring.py:38(__call__)
      595    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
  122/111    0.000    0.000    0.016    0.000 _docstring.py:79(__call__)
        2    0.000    0.000    0.014    0.007 core.py:235(read_style_directory)
     6341    0.005    0.000    0.014    0.000 inspect.py:2686(__init__)
      657    0.000    0.000    0.014    0.000 inspect.py:3278(signature)
      657    0.000    0.000    0.014    0.000 inspect.py:3024(from_callable)
  721/657    0.002    0.000    0.013    0.000 inspect.py:2428(_signature_from_callable)
      197    0.000    0.000    0.013    0.000 _parser.py:972(parse)
      213    0.007    0.000    0.013    0.000 artist.py:1457(<listcomp>)
      427    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
       12    0.000    0.000    0.013    0.001 _docstring.py:51(__missing__)
  407/197    0.001    0.000    0.012    0.000 _parser.py:449(_parse_sub)
        1    0.000    0.000    0.012    0.012 art3d.py:1(<module>)
  443/200    0.005    0.000    0.012    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
     9273    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
      637    0.003    0.000    0.010    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
      100    0.001    0.000    0.009    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
     1387    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.009    0.009 category.py:1(<module>)
     1398    0.009    0.000    0.009    0.000 {built-in method posix.stat}
