#=====================================================
# File created:        Mon-11-Mar-2024-at-08-51-53AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.234740
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2462.5086  0.2595 
   00001    0.6892   -3798.0073  0.2689 
   00002    0.6096   -4457.2792  0.2667 
   00003    0.5772   -5049.7419  0.2732 
   00004    0.5504   -5525.6199  0.2845 
   00005    0.5668   -5828.2121  0.2899 
   00006    0.5272   -6092.0655  0.2890 
   00007    0.5132   -6376.3119  0.2899 
   00008    0.5032   -6551.1823  0.2914 
   00009    0.5052   -6687.9586  0.3047 
   00010    0.5008   -6890.1569  0.3039 
   00011    0.4732   -7020.3882  0.3121 
   00012    0.4672   -7110.2968  0.3099 
   00013    0.4572   -7150.2310  0.3117 
   00014    0.4776   -7208.3449  0.3201 
   00015    0.4776   -7336.6308  0.3262 
   00016    0.4516   -7428.9908  0.3290 
   00017    0.4480   -7538.1113  0.3315 
   00018    0.4484   -7622.8155  0.3328 
   00019    0.4404   -7655.6420  0.3308 
   00020    0.4476   -7641.7628  0.3401 
   00021    0.4388   -7685.1088  0.3495 
   00022    0.4444   -7749.1722  0.3561 
   00023    0.4492   -7821.3255  0.3601 
   00024    0.4312   -7833.8273  0.3605 
   00025    0.4368   -7871.9148  0.3559 
   00026    0.4292   -7954.1128  0.3624 
   00027    0.4396   -7944.8261  0.3627 
   00028    0.4424   -7889.0244  0.3580 
   00029    0.4472   -7911.0071  0.3603 
   00030    0.4376   -7903.1901  0.3649 
   00031    0.4356   -7920.9041  0.3616 
   00032    0.4400   -7998.1354  0.3616 
   00033    0.4480   -8021.7220  0.3585 
   00034    0.4124   -8002.6343  0.3548 
   00035    0.4268   -8002.7259  0.3542 
   00036    0.4204   -8000.5421  0.3523 
   00037    0.4396   -7986.0372  0.3570 
   00038    0.4120   -8013.2475  0.3642 
   00039    0.4232   -8036.1974  0.3638 
   00040    0.4220   -8034.3486  0.3717 
   00041    0.4304   -8021.9343  0.3697 
   00042    0.4352   -7994.4907  0.3676 
   00043    0.4260   -7999.6268  0.3630 
   00044    0.4376   -8037.5552  0.3609 
   00045    0.4256   -8099.6747  0.3654 
   00046    0.4164   -8106.9973  0.3607 
   00047    0.4448   -8052.7399  0.3595 
   00048    0.4448   -8116.4245  0.3640 
   00049    0.4324   -8122.0536  0.3693 
   00050    0.4264   -8122.4572  0.3787 
