#=====================================================
# File created:        Tue-12-Mar-2024-at-09-03-56AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.270690
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2588.2067  0.2520 
   00001    0.6900   -3779.6702  0.2515 
   00002    0.6148   -4642.6768  0.2548 
   00003    0.5652   -5198.2408  0.2670 
   00004    0.5328   -5612.0794  0.2685 
   00005    0.5328   -5938.3747  0.2675 
   00006    0.5008   -6189.4044  0.2785 
   00007    0.5148   -6408.8527  0.2827 
   00008    0.4800   -6617.5723  0.2822 
   00009    0.4784   -6799.4387  0.2895 
   00010    0.4604   -6924.1541  0.2866 
   00011    0.4764   -7013.0025  0.2851 
   00012    0.4720   -7137.9854  0.2864 
   00013    0.4704   -7252.3849  0.2877 
   00014    0.4680   -7345.7457  0.2876 
   00015    0.4604   -7434.6804  0.2853 
   00016    0.4620   -7514.6609  0.2760 
   00017    0.4324   -7510.2371  0.2789 
   00018    0.4448   -7560.9655  0.2823 
   00019    0.4552   -7645.4843  0.2861 
   00020    0.4472   -7646.4989  0.2897 
   00021    0.4428   -7641.3223  0.2904 
   00022    0.4620   -7641.7311  0.2930 
   00023    0.4480   -7674.3566  0.2918 
   00024    0.4244   -7707.2988  0.2876 
   00025    0.4252   -7763.9787  0.2856 
   00026    0.4296   -7799.2846  0.2877 
   00027    0.4428   -7810.2856  0.2908 
   00028    0.4328   -7800.3336  0.2940 
   00029    0.4244   -7769.9440  0.2913 
   00030    0.4424   -7805.7206  0.2914 
   00031    0.4360   -7819.5738  0.2907 
   00032    0.4240   -7849.5329  0.2879 
   00033    0.4284   -7900.3910  0.2855 
   00034    0.4432   -7930.5253  0.2803 
   00035    0.4480   -7931.9267  0.2759 
   00036    0.4372   -7955.4488  0.2747 
   00037    0.4224   -7960.3584  0.2756 
   00038    0.4148   -7969.1643  0.2764 
   00039    0.4072   -8036.4917  0.2821 
   00040    0.4156   -8022.7823  0.2779 
   00041    0.4184   -8008.4815  0.2874 
   00042    0.4312   -7994.7945  0.2884 
   00043    0.4272   -8016.3047  0.2903 
   00044    0.4292   -8017.4953  0.2907 
   00045    0.4216   -7994.4504  0.2912 
   00046    0.4480   -7993.3027  0.3041 
   00047    0.4324   -7986.5946  0.2976 
   00048    0.4228   -7977.8440  0.2944 
   00049    0.4376   -8005.3342  0.2899 
   00050    0.4076   -8078.4048  0.2928 
