#=====================================================
# File created:        Mon-11-Mar-2024-at-09-03-17AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.258432
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2436.7528  0.2620 
   00001    0.6684   -3629.0045  0.2587 
   00002    0.6072   -4426.3743  0.2542 
   00003    0.5608   -5003.4413  0.2609 
   00004    0.5564   -5438.2987  0.2584 
   00005    0.5500   -5769.1352  0.2579 
   00006    0.5284   -6029.7927  0.2626 
   00007    0.5164   -6292.6025  0.2637 
   00008    0.5040   -6530.8509  0.2608 
   00009    0.5032   -6607.2754  0.2595 
   00010    0.4812   -6731.6574  0.2629 
   00011    0.4888   -6882.1446  0.2555 
   00012    0.4784   -6970.9928  0.2639 
   00013    0.4732   -7104.4343  0.2717 
   00014    0.4568   -7218.2728  0.2713 
   00015    0.4620   -7326.5055  0.2658 
   00016    0.4600   -7376.7937  0.2672 
   00017    0.4368   -7446.2971  0.2733 
   00018    0.4336   -7541.0983  0.2767 
   00019    0.4480   -7597.4507  0.2850 
   00020    0.4564   -7673.8179  0.2925 
   00021    0.4496   -7725.6919  0.2921 
   00022    0.4400   -7687.9329  0.2943 
   00023    0.4416   -7754.6894  0.2916 
   00024    0.4320   -7794.4670  0.2918 
   00025    0.4508   -7780.9160  0.2891 
   00026    0.4252   -7825.6167  0.2882 
   00027    0.4432   -7888.4075  0.2899 
   00028    0.4316   -7858.8672  0.3006 
   00029    0.4460   -7865.4617  0.2988 
   00030    0.4432   -7859.7497  0.3026 
   00031    0.4424   -7914.2887  0.3035 
   00032    0.4324   -7937.5059  0.3037 
   00033    0.4184   -7983.3271  0.3047 
   00034    0.4304   -7982.9675  0.3051 
   00035    0.4280   -7996.4712  0.3007 
   00036    0.4236   -7981.9639  0.2996 
   00037    0.4388   -8031.0836  0.3013 
   00038    0.4292   -8034.3063  0.3109 
   00039    0.4244   -8080.2564  0.3083 
   00040    0.4372   -8041.8635  0.3123 
   00041    0.4260   -8076.7787  0.3160 
   00042    0.4244   -8078.3199  0.3105 
   00043    0.4288   -8097.5322  0.3118 
   00044    0.3996   -8070.0579  0.3150 
   00045    0.4204   -8072.9293  0.3143 
   00046    0.4388   -8063.2776  0.3150 
   00047    0.4516   -8058.3200  0.3114 
   00048    0.4204   -8078.1852  0.3142 
   00049    0.4412   -8104.7900  0.3164 
   00050    0.4264   -8091.8931  0.3257 
