#=====================================================
# File created:        Tue-12-Mar-2024-at-09-19-14AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.066198
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2441.9574  0.2676 
   00001    0.6716   -3779.3513  0.2825 
   00002    0.6292   -4520.6452  0.2881 
   00003    0.5820   -5061.6925  0.2862 
   00004    0.5248   -5399.0670  0.2899 
   00005    0.5428   -5663.0283  0.2966 
   00006    0.5196   -5858.6894  0.2944 
   00007    0.4868   -6060.2166  0.2986 
   00008    0.5060   -6155.0245  0.3049 
   00009    0.4892   -6370.2504  0.3074 
   00010    0.5028   -6463.3006  0.3203 
   00011    0.4856   -6568.1543  0.3133 
   00012    0.4588   -6672.0282  0.3124 
   00013    0.4860   -6757.5201  0.3055 
   00014    0.4592   -6813.1717  0.3068 
   00015    0.4916   -6823.1807  0.2980 
   00016    0.4604   -6878.4863  0.2968 
   00017    0.4588   -6899.2229  0.2974 
   00018    0.4748   -6979.5030  0.3000 
   00019    0.4744   -7029.7358  0.2934 
   00020    0.4424   -7039.6978  0.3019 
   00021    0.4440   -7157.6238  0.2985 
   00022    0.4700   -7201.7722  0.3020 
   00023    0.4556   -7232.7500  0.2948 
   00024    0.4528   -7282.8004  0.2964 
   00025    0.4532   -7323.9530  0.2987 
   00026    0.4556   -7365.5103  0.2967 
   00027    0.4648   -7366.8505  0.2974 
   00028    0.4480   -7369.9474  0.3014 
   00029    0.4600   -7427.5422  0.3030 
   00030    0.4376   -7413.6407  0.3013 
   00031    0.4348   -7442.4231  0.3011 
   00032    0.4424   -7464.9486  0.3012 
   00033    0.4572   -7481.3625  0.2994 
   00034    0.4348   -7530.7946  0.2981 
   00035    0.4340   -7551.0044  0.2962 
   00036    0.4332   -7597.6874  0.2960 
   00037    0.4520   -7680.8069  0.2871 
   00038    0.4324   -7641.6935  0.2846 
   00039    0.4452   -7615.1788  0.2877 
   00040    0.4384   -7608.8390  0.2916 
   00041    0.4516   -7656.2895  0.2867 
   00042    0.4336   -7687.6521  0.2891 
   00043    0.4252   -7683.4218  0.2894 
   00044    0.4436   -7664.4465  0.2903 
   00045    0.4500   -7681.0275  0.2841 
   00046    0.4396   -7771.3267  0.2926 
   00047    0.4384   -7765.0948  0.2989 
   00048    0.4288   -7714.1181  0.2984 
   00049    0.4328   -7719.3640  0.2939 
   00050    0.4488   -7745.8503  0.2910 
