#=====================================================
# File created:        Mon-11-Mar-2024-at-02-10-57AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.424458
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2468.0370  0.2756 
   00001    0.6784   -3735.7628  0.2944 
   00002    0.6240   -4587.8133  0.2891 
   00003    0.5888   -5184.0633  0.2957 
   00004    0.5608   -5563.4445  0.2922 
   00005    0.5436   -5868.4219  0.2912 
   00006    0.5032   -6170.8909  0.3076 
   00007    0.5112   -6324.9922  0.3230 
   00008    0.4888   -6575.4240  0.3166 
   00009    0.4924   -6718.7290  0.3273 
   00010    0.4864   -6923.6772  0.3302 
   00011    0.4772   -7045.1084  0.3317 
   00012    0.4696   -7088.8823  0.3388 
   00013    0.4776   -7184.1668  0.3383 
   00014    0.4716   -7220.3030  0.3411 
   00015    0.4644   -7265.5986  0.3452 
   00016    0.4736   -7308.8109  0.3405 
   00017    0.4620   -7426.9865  0.3506 
   00018    0.4660   -7505.9700  0.3568 
   00019    0.4560   -7577.8716  0.3576 
   00020    0.4508   -7645.4710  0.3635 
   00021    0.4468   -7673.7474  0.3665 
   00022    0.4296   -7675.1353  0.3727 
   00023    0.4492   -7681.4740  0.3768 
   00024    0.4512   -7728.9398  0.3776 
   00025    0.4532   -7740.5125  0.3784 
   00026    0.4512   -7770.0947  0.3730 
   00027    0.4380   -7792.7811  0.3825 
   00028    0.4468   -7919.0799  0.3861 
   00029    0.4200   -7956.4412  0.3876 
   00030    0.4380   -8009.9573  0.3892 
   00031    0.4500   -8016.4584  0.3916 
   00032    0.4352   -8007.4429  0.3940 
   00033    0.4236   -8027.9457  0.3882 
   00034    0.4216   -7994.9637  0.3927 
   00035    0.4328   -8025.8481  0.4021 
   00036    0.4192   -8018.8240  0.4023 
   00037    0.4336   -8022.3094  0.4127 
   00038    0.4140   -8061.2380  0.4171 
   00039    0.4288   -8056.7078  0.4136 
   00040    0.4388   -8108.1724  0.4148 
   00041    0.4296   -8127.7856  0.4191 
   00042    0.4240   -8083.6265  0.4226 
   00043    0.4424   -8127.8198  0.4217 
   00044    0.4188   -8150.0745  0.4267 
   00045    0.4340   -8147.8037  0.4236 
   00046    0.4180   -8157.5921  0.4256 
   00047    0.4144   -8174.2388  0.4275 
   00048    0.4168   -8204.6953  0.4337 
   00049    0.4216   -8187.5894  0.4373 
   00050    0.4052   -8211.2573  0.4325 
