#=====================================================
# File created:        Sun-10-Mar-2024-at-07-06-43PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        24.496935
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2528.4142  0.2640 
   00001    0.6624   -3858.1689  0.2798 
   00002    0.6016   -4583.3169  0.2743 
   00003    0.5672   -5164.0599  0.2771 
   00004    0.5508   -5530.1029  0.2783 
   00005    0.5392   -5725.5379  0.2702 
   00006    0.4988   -5917.6320  0.2775 
   00007    0.4876   -6094.4393  0.2798 
   00008    0.4948   -6207.1835  0.2934 
   00009    0.4968   -6285.9794  0.2927 
   00010    0.4796   -6465.7499  0.2936 
   00011    0.4632   -6518.8779  0.2990 
   00012    0.4492   -6619.5863  0.3067 
   00013    0.4712   -6795.8710  0.3158 
   00014    0.4536   -6800.0839  0.3225 
   00015    0.4552   -6813.0768  0.3310 
   00016    0.4632   -6909.9946  0.3310 
   00017    0.4576   -7041.9592  0.3331 
   00018    0.4448   -7099.1397  0.3318 
   00019    0.4536   -7151.3078  0.3437 
   00020    0.4360   -7202.8669  0.3484 
   00021    0.4460   -7184.0326  0.3500 
   00022    0.4396   -7141.4705  0.3582 
   00023    0.4448   -7106.0529  0.3613 
   00024    0.4236   -7168.3676  0.3601 
   00025    0.4376   -7174.8449  0.3696 
   00026    0.4420   -7136.5498  0.3700 
   00027    0.4312   -7136.2452  0.3659 
   00028    0.4372   -7182.1292  0.3673 
   00029    0.4188   -7215.3306  0.3701 
   00030    0.4324   -7291.3070  0.3781 
   00031    0.4352   -7330.0668  0.3884 
   00032    0.4232   -7326.9150  0.3862 
   00033    0.4516   -7291.3071  0.3882 
   00034    0.4404   -7287.9618  0.3854 
   00035    0.4316   -7284.0825  0.3925 
   00036    0.4280   -7286.6174  0.3980 
   00037    0.4356   -7329.5666  0.4066 
   00038    0.4380   -7335.1168  0.4075 
   00039    0.4292   -7342.5797  0.4155 
   00040    0.4068   -7401.4442  0.4163 
   00041    0.4204   -7425.8612  0.4236 
   00042    0.4204   -7411.1437  0.4237 
   00043    0.4212   -7396.2937  0.4224 
   00044    0.4256   -7401.6583  0.4310 
   00045    0.4344   -7443.7831  0.4317 
   00046    0.4144   -7492.7311  0.4341 
   00047    0.4156   -7512.3489  0.4342 
   00048    0.4220   -7475.9622  0.4508 
   00049    0.4192   -7511.5860  0.4533 
   00050    0.4080   -7532.0406  0.4501 
   00051    0.4228   -7559.0699  0.4519 
   00052    0.4204   -7556.0453  0.4491 
   00053    0.4304   -7558.7141  0.4484 
   00054    0.4168   -7581.2392  0.4434 
   00055    0.4184   -7607.7166  0.4420 
   00056    0.4104   -7600.5981  0.4437 
   00057    0.4148   -7663.5266  0.4503 
   00058    0.4132   -7665.8822  0.4460 
   00059    0.4032   -7628.4909  0.4398 
   00060    0.4060   -7616.5851  0.4386 
   00061    0.4216   -7606.6191  0.4319 
   00062    0.4236   -7605.3892  0.4264 
   00063    0.4268   -7563.4815  0.4305 
   00064    0.4216   -7590.0014  0.4272 
   00065    0.4284   -7596.3898  0.4271 
   00066    0.4108   -7604.8281  0.4374 
   00067    0.4144   -7662.9193  0.4377 
   00068    0.4068   -7627.5227  0.4336 
   00069    0.4152   -7547.2077  0.4365 
   00070    0.4288   -7555.0716  0.4331 
   00071    0.4292   -7587.6356  0.4317 
   00072    0.4128   -7643.4223  0.4366 
   00073    0.4172   -7715.0379  0.4384 
   00074    0.4012   -7675.2610  0.4380 
   00075    0.4136   -7686.5172  0.4405 
   00076    0.4088   -7694.5491  0.4431 
   00077    0.4272   -7639.3478  0.4402 
   00078    0.4096   -7627.1592  0.4409 
   00079    0.4224   -7670.7767  0.4529 
   00080    0.3892   -7677.8339  0.4570 
   00081    0.3948   -7704.4493  0.4664 
   00082    0.4132   -7705.6009  0.4705 
   00083    0.4060   -7696.5731  0.4743 
   00084    0.4028   -7691.3992  0.4795 
   00085    0.4116   -7700.4145  0.4881 
   00086    0.4136   -7688.8515  0.4890 
   00087    0.4100   -7675.7712  0.4917 
   00088    0.4328   -7585.6477  0.4851 
   00089    0.4044   -7639.2860  0.4869 
   00090    0.4128   -7712.4284  0.4902 
   00091    0.3964   -7723.4585  0.4865 
   00092    0.4164   -7706.0741  0.4863 
   00093    0.4228   -7699.2161  0.4862 
   00094    0.4232   -7769.5218  0.4820 
   00095    0.4052   -7740.2463  0.4807 
   00096    0.4092   -7745.3650  0.4796 
   00097    0.4216   -7785.4467  0.4778 
   00098    0.4080   -7757.5880  0.4841 
   00099    0.4160   -7717.8155  0.4821 
   00100    0.4256   -7761.1130  0.4788 
   00101    0.4136   -7755.2100  0.4812 
   00102    0.3940   -7725.1097  0.4755 
   00103    0.4240   -7725.9127  0.4774 
   00104    0.4324   -7733.3374  0.4727 
   00105    0.4188   -7739.6327  0.4776 
   00106    0.4352   -7733.4626  0.4824 
   00107    0.4124   -7764.0474  0.4821 
   00108    0.4136   -7770.9474  0.4882 
   00109    0.3900   -7772.2546  0.4925 
   00110    0.4148   -7754.7616  0.4997 
   00111    0.4104   -7725.6253  0.5040 
   00112    0.4064   -7736.5846  0.5006 
   00113    0.4188   -7748.5415  0.5066 
   00114    0.4184   -7688.5571  0.5079 
   00115    0.4236   -7816.5721  0.5099 
   00116    0.4100   -7776.2857  0.5063 
   00117    0.4072   -7762.4432  0.5103 
   00118    0.3988   -7735.7159  0.5103 
   00119    0.4160   -7832.7285  0.5143 
   00120    0.4072   -7843.1718  0.5167 
   00121    0.3976   -7838.9919  0.5126 
   00122    0.4000   -7889.8048  0.5123 
   00123    0.4160   -7877.6660  0.5092 
   00124    0.4044   -7897.7457  0.5149 
   00125    0.4036   -7944.0059  0.5137 
   00126    0.3976   -7924.0118  0.5131 
   00127    0.4100   -7883.7179  0.5121 
   00128    0.3920   -7907.0704  0.5080 
   00129    0.4220   -7852.5448  0.5141 
   00130    0.4056   -7830.2439  0.5181 
   00131    0.3872   -7889.6281  0.5195 
   00132    0.4076   -7862.7974  0.5190 
   00133    0.3980   -7830.0145  0.5176 
   00134    0.4268   -7843.3145  0.5158 
   00135    0.4004   -7826.9991  0.5190 
   00136    0.4068   -7841.7857  0.5223 
   00137    0.4068   -7836.0294  0.5212 
   00138    0.4096   -7792.6596  0.5246 
   00139    0.4200   -7829.9272  0.5281 
   00140    0.4000   -7844.5077  0.5342 
   00141    0.4248   -7789.6764  0.5300 
   00142    0.4164   -7829.5208  0.5328 
   00143    0.4116   -7861.0068  0.5323 
   00144    0.4164   -7867.2976  0.5340 
   00145    0.3924   -7885.1591  0.5367 
   00146    0.4036   -7901.5352  0.5337 
   00147    0.4184   -7930.4288  0.5396 
   00148    0.3952   -7894.1419  0.5401 
   00149    0.4236   -7893.2428  0.5457 
   00150    0.4036   -7882.6513  0.5449 
   00151    0.3848   -7844.1155  0.5398 
   00152    0.3872   -7826.7343  0.5435 
   00153    0.3988   -7834.6980  0.5496 
   00154    0.4092   -7850.8991  0.5509 
   00155    0.4056   -7899.9523  0.5570 
   00156    0.4036   -7862.2691  0.5494 
   00157    0.4172   -7894.8394  0.5545 
   00158    0.3960   -7935.7849  0.5557 
   00159    0.4192   -7936.2294  0.5512 
   00160    0.3996   -7908.0223  0.5458 
   00161    0.4064   -7901.9351  0.5472 
   00162    0.3992   -7902.7370  0.5459 
   00163    0.4200   -7848.6620  0.5417 
   00164    0.4076   -7815.3779  0.5364 
   00165    0.3868   -7819.5148  0.5375 
   00166    0.3940   -7794.7698  0.5368 
   00167    0.3936   -7712.5926  0.5399 
   00168    0.4160   -7689.2075  0.5405 
   00169    0.4152   -7763.1192  0.5411 
   00170    0.4208   -7802.9004  0.5453 
   00171    0.4016   -7724.4553  0.5403 
   00172    0.4148   -7730.4276  0.5370 
   00173    0.4012   -7736.6486  0.5381 
   00174    0.4064   -7788.0889  0.5450 
   00175    0.4200   -7818.9130  0.5408 
   00176    0.4184   -7759.4085  0.5406 
   00177    0.4092   -7820.5758  0.5413 
   00178    0.4096   -7806.4101  0.5460 
   00179    0.4116   -7829.9813  0.5553 
   00180    0.4168   -7858.7794  0.5637 
   00181    0.4092   -7868.2935  0.5716 
   00182    0.3944   -7816.8444  0.5705 
   00183    0.4140   -7820.2485  0.5709 
   00184    0.3924   -7816.7730  0.5638 
   00185    0.4268   -7807.1266  0.5640 
   00186    0.3932   -7842.8374  0.5687 
   00187    0.4152   -7831.3548  0.5603 
   00188    0.4128   -7771.2545  0.5614 
   00189    0.4016   -7736.9220  0.5632 
   00190    0.4084   -7813.2258  0.5647 
   00191    0.4152   -7867.5629  0.5684 
   00192    0.3952   -7841.9353  0.5703 
   00193    0.4172   -7852.4441  0.5773 
   00194    0.4116   -7902.3702  0.5766 
   00195    0.4056   -7909.0712  0.5694 
   00196    0.3976   -7839.3816  0.5703 
   00197    0.3932   -7875.6291  0.5716 
   00198    0.4024   -7812.4081  0.5699 
   00199    0.4152   -7881.2503  0.5771 
   00200    0.4304   -7901.0815  0.5752 
   00201    0.3960   -7910.3969  0.5815 
   00202    0.4048   -7871.9573  0.5772 
   00203    0.4144   -7910.5731  0.5805 
   00204    0.3984   -7860.8405  0.5755 
   00205    0.4088   -7820.0688  0.5719 
   00206    0.4172   -7800.7026  0.5803 
   00207    0.4108   -7849.4629  0.5822 
   00208    0.4144   -7880.5196  0.5860 
   00209    0.4008   -7830.8698  0.5831 
   00210    0.4152   -7857.5216  0.5798 
   00211    0.4188   -7928.5535  0.5781 
   00212    0.3940   -7810.4797  0.5761 
   00213    0.3876   -7820.3976  0.5754 
   00214    0.4044   -7854.7343  0.5869 
   00215    0.3888   -7890.7102  0.5838 
   00216    0.4228   -7890.1750  0.5853 
   00217    0.4068   -7862.0034  0.5811 
   00218    0.4324   -7860.4123  0.5775 
   00219    0.3996   -7791.1280  0.5785 
   00220    0.4120   -7773.0360  0.5754 
   00221    0.4228   -7792.1312  0.5677 
   00222    0.4160   -7770.3416  0.5723 
   00223    0.4208   -7834.7232  0.5765 
   00224    0.4064   -7835.0145  0.5814 
   00225    0.4132   -7906.9979  0.5827 
   00226    0.4132   -7856.0959  0.5778 
   00227    0.4072   -7853.1880  0.5706 
   00228    0.4048   -7861.7417  0.5813 
   00229    0.3984   -7834.0436  0.5812 
   00230    0.4236   -7807.2917  0.5816 
   00231    0.4100   -7865.7013  0.5761 
   00232    0.4176   -7897.7132  0.5727 
   00233    0.4076   -7840.6149  0.5758 
   00234    0.4244   -7876.4225  0.5719 
   00235    0.4108   -7857.8138  0.5759 
   00236    0.4260   -7886.7621  0.5798 
   00237    0.4040   -7878.8743  0.5780 
   00238    0.3984   -7993.2300  0.5840 
   00239    0.4024   -7995.5361  0.5875 
   00240    0.4144   -8045.6908  0.5880 
   00241    0.3724   -8026.9339  0.5940 
   00242    0.4160   -7986.9265  0.5895 
   00243    0.4000   -7913.6245  0.5895 
   00244    0.3988   -7914.8483  0.5910 
   00245    0.3992   -7924.5098  0.5916 
   00246    0.3860   -7918.6313  0.5860 
   00247    0.4020   -7910.8861  0.5884 
   00248    0.4116   -7891.9075  0.5911 
   00249    0.3888   -7937.1389  0.5906 
   00250    0.4044   -7951.5251  0.5979 
   00251    0.4116   -7920.2106  0.5967 
   00252    0.3836   -7963.7542  0.6006 
   00253    0.4024   -7880.2281  0.6035 
   00254    0.4016   -7892.4110  0.6032 
   00255    0.4164   -7937.7160  0.6026 
   00256    0.4000   -7929.1035  0.5998 
   00257    0.4076   -7920.0587  0.5974 
   00258    0.4136   -7934.4992  0.6116 
   00259    0.3824   -7906.5680  0.6114 
   00260    0.4072   -7904.6698  0.6092 
   00261    0.3980   -7918.1082  0.6190 
   00262    0.4156   -7920.8959  0.6235 
   00263    0.3900   -7938.5948  0.6197 
   00264    0.3924   -7940.5569  0.6153 
   00265    0.3924   -7847.1923  0.6015 
   00266    0.4108   -7850.4662  0.5967 
   00267    0.4164   -7851.9055  0.5972 
   00268    0.4100   -7840.6971  0.5911 
   00269    0.4020   -7856.1508  0.5934 
   00270    0.3960   -7950.1921  0.5897 
   00271    0.3944   -7974.8193  0.5926 
   00272    0.4056   -7966.4076  0.5909 
   00273    0.4072   -7966.8313  0.5931 
   00274    0.4000   -7999.5068  0.5932 
   00275    0.4024   -8000.2103  0.5919 
   00276    0.4124   -7993.9280  0.5967 
   00277    0.4120   -8013.2951  0.5908 
   00278    0.3868   -7884.3098  0.5897 
   00279    0.4108   -7859.3578  0.5929 
   00280    0.4024   -7801.9461  0.5863 
   00281    0.4124   -7796.5844  0.5848 
   00282    0.4140   -7828.4685  0.5827 
   00283    0.4040   -7824.2324  0.5812 
   00284    0.4080   -7933.6374  0.5796 
   00285    0.4008   -7855.4887  0.5831 
   00286    0.3888   -7923.4619  0.5832 
   00287    0.3936   -7859.2655  0.5817 
   00288    0.4012   -7911.5063  0.5766 
   00289    0.4008   -7869.8645  0.5756 
   00290    0.4024   -7835.4787  0.5682 
   00291    0.4136   -7834.5589  0.5763 
   00292    0.4008   -7865.1576  0.5794 
   00293    0.3952   -7952.2912  0.5786 
   00294    0.4080   -8014.5306  0.5755 
   00295    0.3972   -7991.0209  0.5764 
   00296    0.3940   -7977.3448  0.5807 
   00297    0.3784   -7968.9012  0.5709 
   00298    0.4064   -7908.5473  0.5682 
   00299    0.4064   -7964.7706  0.5716 
   00300    0.3784   -8009.5632  0.5797 
   00301    0.4140   -7998.0875  0.5735 
   00302    0.4080   -7949.5716  0.5755 
   00303    0.4140   -7939.3985  0.5733 
   00304    0.4040   -7898.2763  0.5687 
   00305    0.3984   -7896.5099  0.5671 
   00306    0.4196   -7922.0333  0.5618 
   00307    0.4160   -7905.1767  0.5633 
   00308    0.4216   -7880.7588  0.5612 
   00309    0.4020   -7933.8891  0.5625 
   00310    0.4040   -7902.3924  0.5598 
   00311    0.4056   -7961.6418  0.5575 
   00312    0.3988   -7927.3603  0.5494 
   00313    0.4004   -7911.6000  0.5451 
   00314    0.4000   -7876.6574  0.5455 
   00315    0.3888   -7857.9481  0.5506 
   00316    0.3960   -7852.3602  0.5476 
   00317    0.4100   -7882.3923  0.5479 
   00318    0.3964   -7865.7871  0.5394 
   00319    0.4156   -7911.8274  0.5482 
   00320    0.4144   -7860.1457  0.5498 
   00321    0.3876   -7775.9459  0.5515 
   00322    0.4196   -7847.3160  0.5558 
   00323    0.4068   -7860.8683  0.5532 
   00324    0.4020   -7846.7430  0.5510 
   00325    0.4120   -7787.1397  0.5487 
   00326    0.3964   -7816.7288  0.5477 
   00327    0.4100   -7834.2393  0.5482 
   00328    0.3988   -7867.1583  0.5501 
   00329    0.3980   -7929.6918  0.5497 
   00330    0.4024   -7954.7660  0.5570 
   00331    0.4016   -7931.9291  0.5560 
   00332    0.3988   -7980.4138  0.5579 
   00333    0.3980   -7987.4337  0.5531 
   00334    0.4044   -8006.5179  0.5616 
   00335    0.4000   -7992.5546  0.5599 
   00336    0.3996   -7962.3487  0.5521 
   00337    0.4112   -8006.4856  0.5508 
   00338    0.4048   -7996.1237  0.5528 
   00339    0.4008   -7941.4110  0.5532 
   00340    0.4124   -7944.6846  0.5529 
   00341    0.4012   -7942.8110  0.5519 
   00342    0.4012   -7953.6378  0.5541 
   00343    0.3904   -7973.7664  0.5594 
   00344    0.4132   -7981.5149  0.5637 
   00345    0.3912   -7965.7843  0.5712 
   00346    0.4076   -7956.7588  0.5742 
   00347    0.3984   -7912.7015  0.5725 
   00348    0.4092   -7872.5902  0.5717 
   00349    0.3960   -7914.2331  0.5692 
   00350    0.4120   -7904.1718  0.5729 
   00351    0.4052   -7925.6082  0.5767 
   00352    0.3888   -7952.7420  0.5728 
   00353    0.4192   -7911.8607  0.5641 
   00354    0.4048   -7895.9113  0.5670 
   00355    0.3968   -7925.6213  0.5685 
   00356    0.3984   -7909.6879  0.5722 
   00357    0.3988   -7957.6543  0.5751 
   00358    0.3872   -7971.2113  0.5790 
   00359    0.4012   -8010.5329  0.5844 
   00360    0.3836   -7937.9132  0.5826 
   00361    0.3788   -7965.5195  0.5860 
   00362    0.3884   -7976.1269  0.5839 
   00363    0.4004   -7920.6664  0.5818 
