LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.263, Time: 1.445298 s
         1435845 function calls (1421032 primitive calls) in 2.021 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    290/1    0.002    0.000    2.022    2.022 {built-in method builtins.exec}
        1    0.000    0.000    2.022    2.022 LebwohlLasher2.py:1(<module>)
        1    0.000    0.000    1.454    1.454 LebwohlLasher2.py:276(main)
   377500    1.187    0.000    1.187    0.000 LebwohlLasher2.py:131(one_energy)
       50    0.158    0.003    1.056    0.021 LebwohlLasher2.py:229(MC_step)
       36    0.001    0.000    0.764    0.021 __init__.py:1(<module>)
    349/3    0.001    0.000    0.567    0.189 <frozen importlib._bootstrap>:1165(_find_and_load)
    345/3    0.001    0.000    0.567    0.189 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    330/4    0.001    0.000    0.566    0.142 <frozen importlib._bootstrap>:666(_load_unlocked)
    281/4    0.000    0.000    0.566    0.142 <frozen importlib._bootstrap_external>:934(exec_module)
    836/7    0.000    0.000    0.565    0.081 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   441/15    0.000    0.000    0.517    0.034 {built-in method builtins.__import__}
   463/56    0.001    0.000    0.487    0.009 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       51    0.021    0.000    0.390    0.008 LebwohlLasher2.py:165(all_energy)
        1    0.000    0.000    0.251    0.251 pyplot.py:1(<module>)
1115/1006    0.010    0.000    0.192    0.000 {built-in method builtins.__build_class__}
      100    0.000    0.000    0.135    0.001 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.133    0.001 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.124    0.124 figure.py:1(<module>)
      281    0.001    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      112    0.000    0.000    0.106    0.001 artist.py:1841(kwdoc)
      330    0.000    0.000    0.105    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       45    0.000    0.000    0.100    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.000    0.000    0.100    0.100 colorbar.py:1(<module>)
       45    0.100    0.002    0.100    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.097    0.097 rcsetup.py:1(<module>)
      112    0.002    0.000    0.091    0.001 artist.py:1602(pprint_setters)
      281    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     4050    0.006    0.000    0.076    0.000 artist.py:1474(get_valid_values)
    94764    0.074    0.000    0.074    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.060    0.060 contour.py:1(<module>)
        1    0.000    0.000    0.058    0.058 colors.py:1(<module>)
        1    0.000    0.000    0.057    0.057 backend_bases.py:1(<module>)
     6793    0.033    0.000    0.053    0.000 inspect.py:867(cleandoc)
     6764    0.003    0.000    0.049    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.045    0.045 text.py:1(<module>)
      281    0.044    0.000    0.044    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.044    0.044 _pickle.py:1(<module>)
        1    0.000    0.000    0.042    0.042 Image.py:1(<module>)
        1    0.000    0.000    0.039    0.039 _axes.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.035    0.035 collections.py:1(<module>)
      281    0.035    0.000    0.035    0.000 {built-in method io.open_code}
      213    0.000    0.000    0.035    0.000 artist.py:1426(__init__)
      213    0.005    0.000    0.034    0.000 artist.py:1446(get_aliases)
        1    0.000    0.000    0.031    0.031 _base.py:1(<module>)
      341    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
 1384/848    0.001    0.000    0.029    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.027    0.027 patches.py:1(<module>)
        3    0.000    0.000    0.027    0.009 core.py:1(<module>)
      338    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  339/338    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      281    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     7084    0.003    0.000    0.025    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.025    0.025 multiarray.py:1(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:361(_mac_os_check)
        1    0.000    0.000    0.025    0.025 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.025    0.025 polynomial.py:452(polyfit)
      281    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.024    0.024 axes3d.py:1(<module>)
        1    0.000    0.000    0.024    0.024 overrides.py:1(<module>)
      594    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    45/35    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    45/35    0.012    0.000    0.022    0.001 {built-in method _imp.exec_dynamic}
      213    0.007    0.000    0.022    0.000 artist.py:1521(get_setters)
     5304    0.002    0.000    0.022    0.000 __init__.py:173(search)
      197    0.000    0.000    0.021    0.000 _compiler.py:738(compile)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
       30    0.005    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
        1    0.000    0.000    0.017    0.017 <__array_function__ internals>:177(lstsq)
        1    0.017    0.017    0.017    0.017 linalg.py:2150(lstsq)
     1385    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
