#=====================================================
# File created:        Mon-11-Mar-2024-at-10-36-10PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        18.344568
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2420.3885  0.2710 
   00001    0.6648   -3708.8600  0.2714 
   00002    0.6164   -4524.7548  0.2698 
   00003    0.5744   -5055.5513  0.2833 
   00004    0.5440   -5504.2254  0.2939 
   00005    0.5152   -5858.3871  0.2929 
   00006    0.5076   -6089.8966  0.2989 
   00007    0.4808   -6251.0280  0.3110 
   00008    0.4792   -6427.7327  0.3223 
   00009    0.4852   -6468.3271  0.3187 
   00010    0.4692   -6550.4235  0.3185 
   00011    0.4484   -6631.7089  0.3318 
   00012    0.4596   -6629.6636  0.3358 
   00013    0.4572   -6739.2162  0.3467 
   00014    0.4528   -6791.5366  0.3462 
   00015    0.4556   -6835.8382  0.3531 
   00016    0.4692   -6890.2239  0.3519 
   00017    0.4484   -6948.0288  0.3447 
   00018    0.4432   -6951.1569  0.3414 
   00019    0.4288   -7028.6486  0.3568 
   00020    0.4384   -7107.3039  0.3633 
   00021    0.4316   -7201.9731  0.3619 
   00022    0.4084   -7174.8367  0.3645 
   00023    0.4476   -7196.7885  0.3687 
   00024    0.4600   -7169.7309  0.3718 
   00025    0.4400   -7279.3391  0.3781 
   00026    0.4276   -7328.9048  0.3986 
   00027    0.4260   -7356.0063  0.3941 
   00028    0.4248   -7399.9798  0.3963 
   00029    0.4248   -7406.0386  0.3930 
   00030    0.4336   -7379.5925  0.3905 
   00031    0.4476   -7422.0472  0.3930 
   00032    0.4160   -7490.3513  0.3890 
   00033    0.4152   -7486.2149  0.3856 
   00034    0.4412   -7408.7001  0.3882 
   00035    0.4368   -7481.8323  0.3942 
   00036    0.4240   -7519.6812  0.4008 
   00037    0.4244   -7565.7241  0.3989 
   00038    0.4072   -7640.5211  0.3927 
   00039    0.4140   -7682.8562  0.3936 
   00040    0.3964   -7646.4744  0.3873 
   00041    0.4200   -7650.3081  0.3950 
   00042    0.4212   -7658.3362  0.3970 
   00043    0.4188   -7632.7957  0.3958 
   00044    0.4292   -7656.8626  0.4107 
   00045    0.4132   -7649.1105  0.4127 
   00046    0.4104   -7734.7069  0.4224 
   00047    0.4212   -7699.4800  0.4265 
   00048    0.4136   -7695.4504  0.4322 
   00049    0.3980   -7722.5875  0.4373 
   00050    0.4080   -7754.5695  0.4314 
   00051    0.4200   -7751.8392  0.4243 
   00052    0.4112   -7754.3190  0.4247 
   00053    0.4116   -7734.4608  0.4182 
   00054    0.3972   -7754.7144  0.4156 
   00055    0.4072   -7842.6048  0.4248 
   00056    0.3912   -7816.5863  0.4251 
   00057    0.4032   -7766.8870  0.4238 
   00058    0.4116   -7800.9974  0.4227 
   00059    0.4020   -7822.7491  0.4162 
   00060    0.4196   -7827.2156  0.4096 
   00061    0.3940   -7808.7671  0.4047 
   00062    0.4036   -7832.2349  0.4029 
   00063    0.3864   -7780.4792  0.3965 
   00064    0.3972   -7807.6491  0.3933 
   00065    0.4152   -7826.3852  0.3825 
   00066    0.4152   -7790.2445  0.3793 
   00067    0.4096   -7783.4869  0.3923 
   00068    0.4112   -7774.5241  0.3900 
   00069    0.4196   -7774.4418  0.3905 
   00070    0.4020   -7805.3833  0.3895 
   00071    0.4024   -7811.2973  0.3880 
   00072    0.4076   -7812.3176  0.3860 
   00073    0.4016   -7801.7417  0.3955 
   00074    0.3844   -7753.6987  0.3993 
   00075    0.4052   -7789.6373  0.3992 
   00076    0.4056   -7799.0444  0.4072 
   00077    0.4104   -7856.6217  0.4063 
   00078    0.3952   -7832.6598  0.4082 
   00079    0.4244   -7880.5578  0.4174 
   00080    0.4016   -7913.9665  0.4186 
   00081    0.4012   -7866.8844  0.4158 
   00082    0.3988   -7878.5079  0.4179 
   00083    0.4076   -7842.8911  0.4240 
   00084    0.4052   -7846.0421  0.4299 
   00085    0.3932   -7864.0009  0.4262 
   00086    0.4004   -7830.4559  0.4233 
   00087    0.3888   -7894.1291  0.4357 
   00088    0.3824   -7847.8036  0.4369 
   00089    0.3860   -7910.2063  0.4399 
   00090    0.4056   -7931.1821  0.4385 
   00091    0.4236   -7947.9323  0.4345 
   00092    0.4028   -7904.3817  0.4353 
   00093    0.4044   -7901.4824  0.4364 
   00094    0.4268   -7886.7680  0.4356 
   00095    0.3928   -7874.3159  0.4370 
   00096    0.3920   -7836.4847  0.4430 
   00097    0.4168   -7856.3015  0.4482 
   00098    0.4076   -7803.3868  0.4487 
   00099    0.4144   -7786.5999  0.4443 
   00100    0.3980   -7895.8027  0.4483 
   00101    0.4100   -7929.8399  0.4525 
   00102    0.3976   -7886.5078  0.4594 
   00103    0.4012   -7864.4765  0.4553 
   00104    0.3960   -7853.7076  0.4515 
   00105    0.4136   -7873.5609  0.4512 
   00106    0.4024   -7860.6294  0.4482 
   00107    0.4076   -7889.4880  0.4510 
   00108    0.3988   -7897.9149  0.4552 
   00109    0.4024   -7833.6325  0.4549 
   00110    0.4008   -7838.6734  0.4583 
   00111    0.4052   -7818.9437  0.4655 
   00112    0.4316   -7808.9872  0.4664 
   00113    0.4048   -7826.9147  0.4677 
   00114    0.4216   -7865.6873  0.4659 
   00115    0.4116   -7828.6462  0.4543 
   00116    0.4116   -7763.4123  0.4479 
   00117    0.4100   -7820.3613  0.4516 
   00118    0.4008   -7805.9556  0.4525 
   00119    0.4104   -7802.3674  0.4599 
   00120    0.4052   -7728.1345  0.4517 
   00121    0.4056   -7715.5095  0.4579 
   00122    0.4200   -7779.1566  0.4586 
   00123    0.3988   -7809.9552  0.4581 
   00124    0.3976   -7771.4207  0.4551 
   00125    0.4064   -7804.6947  0.4532 
   00126    0.4296   -7788.9076  0.4478 
   00127    0.4024   -7851.3237  0.4415 
   00128    0.4104   -7874.2281  0.4361 
   00129    0.4084   -7829.2592  0.4330 
   00130    0.4024   -7904.5174  0.4375 
   00131    0.4168   -7877.5912  0.4357 
   00132    0.3976   -7801.4212  0.4433 
   00133    0.3900   -7742.2465  0.4436 
   00134    0.4356   -7727.3104  0.4500 
   00135    0.3944   -7755.0741  0.4550 
   00136    0.4016   -7776.6907  0.4552 
   00137    0.3936   -7757.6352  0.4595 
   00138    0.3948   -7767.6974  0.4604 
   00139    0.4204   -7789.2587  0.4673 
   00140    0.3936   -7771.2820  0.4703 
   00141    0.4128   -7841.5971  0.4712 
   00142    0.4148   -7820.5674  0.4716 
   00143    0.4000   -7845.6435  0.4750 
   00144    0.4016   -7847.0118  0.4758 
   00145    0.4160   -7920.4410  0.4760 
   00146    0.4044   -7900.2213  0.4815 
   00147    0.4004   -7893.0158  0.4785 
   00148    0.4132   -7868.6234  0.4814 
   00149    0.4080   -7767.8049  0.4804 
   00150    0.4072   -7794.6274  0.4798 
   00151    0.4100   -7808.8784  0.4795 
   00152    0.3980   -7811.4497  0.4850 
   00153    0.4008   -7859.9782  0.4875 
   00154    0.4028   -7832.0925  0.4904 
   00155    0.4172   -7795.8853  0.4854 
   00156    0.4036   -7788.7552  0.4832 
   00157    0.4188   -7809.8971  0.4909 
   00158    0.4144   -7819.4658  0.4826 
   00159    0.4068   -7866.8768  0.4860 
   00160    0.4184   -7870.1138  0.4862 
   00161    0.4084   -7855.0618  0.4816 
   00162    0.4080   -7841.4331  0.4832 
   00163    0.3928   -7890.2542  0.4815 
   00164    0.4072   -7876.9483  0.4873 
   00165    0.3916   -7869.1508  0.4881 
   00166    0.4228   -7915.6919  0.4951 
   00167    0.3924   -7947.5867  0.4957 
   00168    0.4140   -7966.8764  0.5022 
   00169    0.3992   -7938.6512  0.5019 
   00170    0.3924   -7975.3832  0.5012 
   00171    0.3928   -7929.8690  0.5098 
   00172    0.3904   -7934.8898  0.4940 
   00173    0.4060   -7888.1902  0.4889 
   00174    0.4060   -7850.1209  0.4826 
   00175    0.4180   -7899.8391  0.4770 
   00176    0.4196   -7889.3437  0.4713 
   00177    0.4056   -7872.1490  0.4787 
   00178    0.4124   -7889.4318  0.4853 
   00179    0.4008   -7914.1351  0.4917 
   00180    0.4092   -7899.3249  0.4893 
   00181    0.3968   -7872.9125  0.4883 
   00182    0.3996   -7887.6134  0.4908 
   00183    0.4128   -7862.4906  0.4837 
   00184    0.4120   -7886.8254  0.4819 
   00185    0.4036   -7878.8484  0.4889 
   00186    0.4056   -7902.1545  0.4834 
   00187    0.4016   -7937.7813  0.4915 
   00188    0.3972   -7908.0589  0.4939 
   00189    0.3872   -7931.1010  0.4953 
   00190    0.4040   -7944.5275  0.4988 
   00191    0.3948   -7966.2600  0.5006 
   00192    0.3988   -7896.2396  0.4973 
   00193    0.4092   -7961.3395  0.4940 
   00194    0.3904   -7984.2860  0.4983 
   00195    0.4068   -7943.6686  0.4935 
   00196    0.4036   -7980.6793  0.4896 
   00197    0.3888   -7945.0497  0.4904 
   00198    0.4176   -7939.5166  0.4853 
   00199    0.4212   -7975.0382  0.4830 
   00200    0.4052   -7949.1492  0.4744 
   00201    0.4164   -7996.9746  0.4715 
   00202    0.3968   -7932.4560  0.4720 
   00203    0.4056   -7950.0175  0.4780 
   00204    0.3996   -7969.6964  0.4748 
   00205    0.4008   -7946.7153  0.4748 
   00206    0.4272   -7919.3183  0.4674 
   00207    0.4044   -7907.9133  0.4682 
   00208    0.4012   -7911.8038  0.4668 
   00209    0.4024   -7929.6583  0.4615 
   00210    0.4104   -7881.9181  0.4604 
   00211    0.4136   -7878.0641  0.4501 
   00212    0.3956   -7926.7176  0.4589 
   00213    0.4064   -7934.3570  0.4660 
   00214    0.3924   -7904.7271  0.4595 
   00215    0.4140   -7851.0497  0.4632 
   00216    0.4088   -7840.6292  0.4601 
   00217    0.3952   -7809.5697  0.4627 
   00218    0.4024   -7873.9384  0.4632 
   00219    0.4136   -7800.3829  0.4595 
   00220    0.4024   -7802.7268  0.4585 
   00221    0.4056   -7773.0128  0.4558 
   00222    0.3884   -7828.6010  0.4558 
   00223    0.4064   -7874.3855  0.4552 
   00224    0.3988   -7872.8720  0.4569 
   00225    0.3988   -7828.7564  0.4638 
   00226    0.4012   -7850.3125  0.4604 
   00227    0.3976   -7862.4497  0.4689 
   00228    0.4184   -7869.1035  0.4708 
   00229    0.3984   -7891.8939  0.4789 
   00230    0.4052   -7935.6535  0.4755 
   00231    0.4016   -7894.7950  0.4761 
   00232    0.3980   -7890.5025  0.4773 
   00233    0.4268   -7808.7057  0.4787 
   00234    0.4272   -7832.3132  0.4785 
   00235    0.4056   -7867.5930  0.4812 
   00236    0.4224   -7916.8188  0.4766 
   00237    0.4072   -7910.6049  0.4778 
   00238    0.3964   -7838.9922  0.4763 
   00239    0.4016   -7859.6645  0.4710 
   00240    0.3900   -7850.0473  0.4715 
   00241    0.4016   -7864.5500  0.4773 
   00242    0.3936   -7797.2945  0.4760 
   00243    0.4004   -7825.9050  0.4752 
   00244    0.4016   -7785.9065  0.4830 
   00245    0.4200   -7818.5936  0.4754 
   00246    0.4280   -7754.6534  0.4690 
   00247    0.4056   -7779.7740  0.4739 
   00248    0.3984   -7783.9781  0.4715 
   00249    0.4152   -7838.3982  0.4673 
   00250    0.3992   -7879.9862  0.4703 
   00251    0.4048   -7868.9537  0.4687 
   00252    0.4116   -7775.9571  0.4705 
   00253    0.4100   -7797.2374  0.4686 
   00254    0.4060   -7899.5224  0.4774 
   00255    0.4060   -7895.0110  0.4759 
   00256    0.4060   -7873.4615  0.4772 
   00257    0.4236   -7815.9606  0.4820 
   00258    0.4044   -7857.6387  0.4836 
   00259    0.4096   -7857.1885  0.4890 
   00260    0.4076   -7889.0729  0.4897 
   00261    0.3924   -7828.4728  0.4880 
   00262    0.3956   -7806.6534  0.4814 
   00263    0.4156   -7835.0314  0.4841 
   00264    0.4064   -7851.9820  0.4743 
   00265    0.4160   -7849.3500  0.4706 
   00266    0.4152   -7874.7509  0.4777 
   00267    0.3896   -7857.2246  0.4776 
   00268    0.4068   -7840.9479  0.4701 
   00269    0.4044   -7849.3628  0.4688 
   00270    0.4168   -7838.2694  0.4655 
   00271    0.4196   -7850.2365  0.4618 
   00272    0.3980   -7821.7918  0.4581 
   00273    0.4172   -7849.0335  0.4592 
   00274    0.4072   -7806.7818  0.4582 
   00275    0.4100   -7898.5980  0.4600 
   00276    0.4032   -7925.9601  0.4498 
   00277    0.4124   -7898.0481  0.4518 
   00278    0.4052   -7838.2293  0.4475 
   00279    0.4032   -7777.2133  0.4513 
   00280    0.4064   -7887.3821  0.4521 
   00281    0.4080   -7885.1104  0.4564 
   00282    0.4096   -7957.0819  0.4750 
   00283    0.3956   -7971.5251  0.4762 
   00284    0.4084   -7982.2358  0.4770 
   00285    0.3984   -7952.7327  0.4761 
   00286    0.4212   -7913.4476  0.4817 
   00287    0.3892   -7906.9667  0.4891 
   00288    0.4032   -7870.4339  0.4835 
   00289    0.3968   -7946.5373  0.4872 
   00290    0.4000   -7900.4916  0.4874 
   00291    0.3864   -7884.8021  0.4826 
   00292    0.4004   -7870.0326  0.4830 
   00293    0.3844   -7887.0059  0.4856 
   00294    0.3876   -7955.4299  0.4904 
   00295    0.3940   -7957.4508  0.4955 
   00296    0.4056   -7906.1476  0.4931 
   00297    0.4140   -7951.0844  0.4934 
   00298    0.4012   -7938.2996  0.4953 
   00299    0.4028   -7929.5966  0.4976 
   00300    0.4000   -7925.2464  0.5042 
   00301    0.4044   -7897.1596  0.5063 
   00302    0.3964   -7888.8983  0.5059 
   00303    0.3956   -7901.0572  0.5014 
   00304    0.4048   -7913.2916  0.5040 
   00305    0.4060   -7897.8368  0.5045 
   00306    0.4028   -7921.3765  0.5079 
