#=====================================================
# File created:        Tue-12-Mar-2024-at-07-49-12AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.053953
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2470.5208  0.2707 
   00001    0.6776   -3742.0758  0.2822 
   00002    0.6276   -4533.1607  0.2885 
   00003    0.5884   -5136.9497  0.2975 
   00004    0.5592   -5606.8323  0.2956 
   00005    0.5392   -5937.5461  0.2990 
   00006    0.5124   -6213.3708  0.3068 
   00007    0.5056   -6540.2341  0.3050 
   00008    0.5024   -6701.9201  0.3074 
   00009    0.4812   -6830.0564  0.3132 
   00010    0.4932   -6974.6361  0.3217 
   00011    0.4732   -7091.5435  0.3241 
   00012    0.4524   -7219.3740  0.3273 
   00013    0.4540   -7298.9978  0.3333 
   00014    0.4392   -7357.0431  0.3349 
   00015    0.4508   -7465.4629  0.3357 
   00016    0.4512   -7496.4104  0.3373 
   00017    0.4428   -7577.3416  0.3486 
   00018    0.4644   -7676.7545  0.3484 
   00019    0.4336   -7753.0394  0.3469 
   00020    0.4284   -7796.2596  0.3529 
   00021    0.4352   -7773.1361  0.3489 
   00022    0.4400   -7784.6363  0.3427 
   00023    0.4384   -7805.0169  0.3424 
   00024    0.4420   -7819.1749  0.3464 
   00025    0.4336   -7893.8705  0.3516 
   00026    0.4180   -7931.8811  0.3493 
   00027    0.4484   -7911.2412  0.3518 
   00028    0.4216   -7928.5081  0.3537 
   00029    0.4436   -7916.0663  0.3616 
   00030    0.4460   -7939.5307  0.3651 
   00031    0.4384   -8014.3587  0.3630 
   00032    0.4256   -8043.7576  0.3655 
   00033    0.4432   -8081.5456  0.3718 
   00034    0.4312   -8065.8409  0.3616 
   00035    0.4468   -8124.5629  0.3572 
   00036    0.4372   -8113.5790  0.3546 
   00037    0.4164   -8160.5756  0.3494 
   00038    0.4368   -8175.2139  0.3549 
   00039    0.4160   -8172.6921  0.3556 
   00040    0.4220   -8192.1679  0.3552 
   00041    0.4144   -8210.4920  0.3541 
   00042    0.4220   -8163.8117  0.3561 
   00043    0.4164   -8197.8309  0.3624 
   00044    0.4184   -8206.0146  0.3603 
   00045    0.4196   -8184.3387  0.3607 
   00046    0.4240   -8239.3614  0.3610 
   00047    0.4052   -8253.5138  0.3670 
   00048    0.4156   -8253.3524  0.3683 
   00049    0.4160   -8181.5553  0.3726 
   00050    0.4324   -8193.5624  0.3725 
