#=====================================================
# File created:        Wed-13-Mar-2024-at-01-25-30AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.577960
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2410.3505  0.2651 
   00001    0.6904   -3570.8480  0.2708 
   00002    0.6436   -4386.4609  0.2660 
   00003    0.5908   -5028.5573  0.2739 
   00004    0.5684   -5484.4746  0.2840 
   00005    0.5444   -5844.2331  0.2925 
   00006    0.5336   -6171.4232  0.2916 
   00007    0.5016   -6408.7688  0.2825 
   00008    0.4728   -6650.2134  0.2834 
   00009    0.5068   -6796.3913  0.2829 
   00010    0.4852   -6911.7904  0.2903 
   00011    0.4732   -7036.9761  0.2924 
   00012    0.4580   -7102.1954  0.2946 
   00013    0.4484   -7186.9265  0.3062 
   00014    0.4628   -7224.4253  0.3100 
   00015    0.4652   -7370.9204  0.3065 
   00016    0.4640   -7417.5671  0.3078 
   00017    0.4384   -7469.1659  0.3046 
   00018    0.4612   -7482.8869  0.3071 
   00019    0.4504   -7531.4750  0.3124 
   00020    0.4360   -7542.7045  0.3133 
   00021    0.4464   -7590.8311  0.3089 
   00022    0.4440   -7644.4371  0.3075 
   00023    0.4476   -7703.1062  0.3186 
   00024    0.4480   -7721.1277  0.3192 
   00025    0.4416   -7720.4782  0.3124 
   00026    0.4580   -7793.3019  0.3201 
   00027    0.4436   -7835.7889  0.3148 
   00028    0.4396   -7853.5219  0.3124 
   00029    0.4304   -7830.8337  0.3120 
   00030    0.4484   -7877.3709  0.3185 
   00031    0.4384   -7896.5499  0.3181 
   00032    0.4364   -7952.2504  0.3230 
   00033    0.4344   -7971.8499  0.3315 
   00034    0.4404   -7991.3296  0.3285 
   00035    0.4276   -7976.8975  0.3276 
   00036    0.4280   -7950.3056  0.3255 
   00037    0.4492   -7994.1245  0.3320 
   00038    0.4240   -7971.7418  0.3242 
   00039    0.4224   -7991.7430  0.3279 
   00040    0.4296   -7964.2333  0.3275 
   00041    0.4408   -7982.9845  0.3266 
   00042    0.4248   -7975.1681  0.3259 
   00043    0.4368   -8007.9952  0.3260 
   00044    0.4172   -8058.5711  0.3276 
   00045    0.4272   -8030.8603  0.3242 
   00046    0.4200   -8051.6224  0.3236 
   00047    0.4204   -8102.0770  0.3277 
   00048    0.4260   -8090.7925  0.3215 
   00049    0.4056   -8126.7332  0.3174 
   00050    0.4432   -8128.6612  0.3121 
   00051    0.4080   -8130.1140  0.3160 
   00052    0.4124   -8146.8701  0.3205 
   00053    0.4268   -8167.7948  0.3179 
   00054    0.4468   -8154.4025  0.3190 
   00055    0.4196   -8234.5138  0.3229 
   00056    0.4084   -8238.3192  0.3250 
   00057    0.3948   -8251.4285  0.3212 
   00058    0.4184   -8205.5570  0.3157 
   00059    0.4072   -8179.2466  0.3176 
   00060    0.4308   -8200.9499  0.3214 
   00061    0.4260   -8163.1719  0.3176 
   00062    0.4416   -8190.2371  0.3237 
   00063    0.4320   -8169.3011  0.3219 
   00064    0.4196   -8176.0606  0.3283 
   00065    0.4220   -8255.9058  0.3282 
   00066    0.4092   -8218.5658  0.3310 
   00067    0.4264   -8242.3697  0.3306 
   00068    0.4328   -8226.6352  0.3271 
   00069    0.4204   -8212.2129  0.3286 
   00070    0.4200   -8215.8265  0.3282 
   00071    0.4316   -8196.1089  0.3259 
   00072    0.4248   -8212.0111  0.3263 
   00073    0.4260   -8201.1622  0.3281 
   00074    0.4276   -8277.6479  0.3260 
   00075    0.4260   -8287.5297  0.3296 
   00076    0.4268   -8298.4761  0.3248 
   00077    0.4068   -8326.5649  0.3252 
   00078    0.4180   -8346.1205  0.3253 
   00079    0.4244   -8339.3789  0.3300 
   00080    0.4240   -8336.0402  0.3213 
   00081    0.4152   -8306.7908  0.3170 
   00082    0.4208   -8328.7055  0.3249 
   00083    0.4388   -8320.2640  0.3255 
   00084    0.4148   -8342.8988  0.3292 
   00085    0.4048   -8367.7292  0.3276 
   00086    0.4296   -8331.2509  0.3278 
   00087    0.4184   -8334.3307  0.3265 
   00088    0.4084   -8368.6982  0.3341 
   00089    0.3976   -8374.3683  0.3302 
   00090    0.4096   -8378.0859  0.3390 
   00091    0.3908   -8362.2785  0.3410 
   00092    0.4164   -8333.5306  0.3415 
   00093    0.4256   -8333.4029  0.3380 
   00094    0.4068   -8367.9365  0.3405 
   00095    0.4212   -8383.3918  0.3459 
   00096    0.4324   -8354.8656  0.3475 
   00097    0.4172   -8381.6519  0.3509 
   00098    0.4188   -8402.0026  0.3560 
   00099    0.4212   -8351.2314  0.3451 
   00100    0.4180   -8381.1037  0.3391 
