#=====================================================
# File created:        Tue-12-Mar-2024-at-05-49-24AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.524151
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2416.2872  0.2617 
   00001    0.6880   -3643.0543  0.2616 
   00002    0.6188   -4426.4166  0.2540 
   00003    0.5824   -4905.4708  0.2700 
   00004    0.5680   -5285.9096  0.2665 
   00005    0.5544   -5657.7844  0.2535 
   00006    0.5440   -5955.7007  0.2539 
   00007    0.5176   -6138.0546  0.2570 
   00008    0.5080   -6367.0141  0.2567 
   00009    0.4888   -6553.7246  0.2546 
   00010    0.4872   -6755.8059  0.2582 
   00011    0.4888   -6842.4643  0.2546 
   00012    0.4760   -6934.1525  0.2525 
   00013    0.4636   -7050.2220  0.2571 
   00014    0.4700   -7194.7864  0.2602 
   00015    0.4600   -7250.1553  0.2578 
   00016    0.4520   -7299.0234  0.2609 
   00017    0.4572   -7381.2954  0.2570 
   00018    0.4448   -7393.9110  0.2558 
   00019    0.4728   -7491.9862  0.2616 
   00020    0.4420   -7549.1074  0.2663 
   00021    0.4484   -7567.4793  0.2649 
   00022    0.4308   -7597.9448  0.2657 
   00023    0.4376   -7617.4223  0.2651 
   00024    0.4460   -7666.9607  0.2626 
   00025    0.4220   -7690.9493  0.2704 
   00026    0.4480   -7691.8394  0.2698 
   00027    0.4588   -7706.7554  0.2750 
   00028    0.4288   -7749.1386  0.2778 
   00029    0.4492   -7832.5309  0.2805 
   00030    0.4484   -7812.4674  0.2888 
   00031    0.4268   -7794.1065  0.2882 
   00032    0.4460   -7839.7023  0.2948 
   00033    0.4156   -7888.8856  0.2973 
   00034    0.4388   -7889.9447  0.2959 
   00035    0.4440   -7891.7885  0.2942 
   00036    0.4308   -7936.0175  0.2900 
   00037    0.4172   -7966.3613  0.2898 
   00038    0.4264   -7974.9873  0.2892 
   00039    0.4316   -7989.8505  0.2983 
   00040    0.4436   -8010.5600  0.2933 
   00041    0.4472   -8035.8759  0.2954 
   00042    0.4284   -8018.7832  0.2956 
   00043    0.4208   -8053.8034  0.2948 
   00044    0.4288   -8031.8822  0.2954 
   00045    0.4140   -8018.2828  0.2915 
   00046    0.4284   -7989.7527  0.3027 
   00047    0.4264   -8063.0921  0.3051 
   00048    0.4240   -8024.2931  0.3117 
   00049    0.4308   -8054.6447  0.3109 
   00050    0.4236   -8079.2240  0.3132 
