#=====================================================
# File created:        Wed-13-Mar-2024-at-01-20-49AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.553655
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2517.2039  0.2624 
   00001    0.6796   -3674.1450  0.2687 
   00002    0.6352   -4459.3837  0.2661 
   00003    0.5896   -5059.3505  0.2803 
   00004    0.5464   -5563.7406  0.2838 
   00005    0.5268   -5885.6150  0.2878 
   00006    0.5156   -6190.0723  0.2941 
   00007    0.5084   -6432.2593  0.2952 
   00008    0.4896   -6651.6435  0.3005 
   00009    0.4972   -6836.2942  0.3105 
   00010    0.4696   -6972.6130  0.3221 
   00011    0.4684   -7092.4777  0.3260 
   00012    0.4820   -7139.6722  0.3274 
   00013    0.4660   -7240.0414  0.3307 
   00014    0.4672   -7330.2489  0.3285 
   00015    0.4732   -7344.8888  0.3367 
   00016    0.4388   -7457.2798  0.3338 
   00017    0.4416   -7512.3311  0.3300 
   00018    0.4632   -7610.6241  0.3384 
   00019    0.4320   -7680.4806  0.3436 
   00020    0.4532   -7645.9953  0.3430 
   00021    0.4224   -7679.5478  0.3461 
   00022    0.4460   -7728.4363  0.3370 
   00023    0.4360   -7806.1130  0.3508 
   00024    0.4260   -7825.8941  0.3496 
   00025    0.4368   -7898.1560  0.3511 
   00026    0.4372   -7941.3189  0.3531 
   00027    0.4108   -7959.8520  0.3504 
   00028    0.4496   -7972.1662  0.3403 
   00029    0.4180   -7947.1294  0.3422 
   00030    0.4300   -7971.8567  0.3412 
   00031    0.4344   -7989.6979  0.3354 
   00032    0.4160   -7980.3706  0.3371 
   00033    0.4328   -7969.6742  0.3324 
   00034    0.4428   -8009.3368  0.3326 
   00035    0.4212   -8065.8289  0.3375 
   00036    0.4272   -8070.9640  0.3381 
   00037    0.4160   -8094.2720  0.3356 
   00038    0.4192   -8068.0106  0.3384 
   00039    0.4228   -8059.3968  0.3356 
   00040    0.4496   -8098.6318  0.3348 
   00041    0.4412   -8058.7349  0.3320 
   00042    0.4304   -8053.4847  0.3313 
   00043    0.4264   -8058.4892  0.3299 
   00044    0.4228   -8086.2309  0.3300 
   00045    0.4252   -8081.3917  0.3318 
   00046    0.4256   -8089.5990  0.3362 
   00047    0.4232   -8104.8840  0.3394 
   00048    0.4356   -8098.8149  0.3442 
   00049    0.4300   -8087.0503  0.3514 
   00050    0.4212   -8140.3976  0.3495 
