LebwohlLasher4.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.362, Time: 0.547680 s
         9254410 function calls (8756850 primitive calls) in 4.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    751/1    0.003    0.000    4.385    4.385 {built-in method builtins.exec}
        1    0.000    0.000    4.385    4.385 LebwohlLasher4.py:1(<module>)
        1    0.000    0.000    2.894    2.894 LebwohlLasher4.py:264(main)
        3    0.000    0.000    2.865    0.955 dispatcher.py:388(_compile_for_args)
    134/3    0.001    0.000    2.841    0.947 dispatcher.py:915(compile)
     35/3    0.000    0.000    2.841    0.947 dispatcher.py:124(compile)
     35/3    0.000    0.000    2.841    0.947 dispatcher.py:131(_compile_cached)
     35/3    0.001    0.000    2.841    0.947 dispatcher.py:146(_compile_core)
     35/3    0.000    0.000    2.841    0.947 compiler.py:736(compile_extra)
       79    0.002    0.000    2.791    0.035 __init__.py:1(<module>)
 1646/327    0.002    0.000    2.630    0.008 compiler_lock.py:32(_acquire_compile_lock)
     47/3    0.000    0.000    2.616    0.872 compiler.py:454(compile_extra)
     47/3    0.000    0.000    2.614    0.871 compiler.py:523(_compile_bytecode)
     47/3    0.000    0.000    2.614    0.871 compiler.py:477(_compile_core)
     47/3    0.002    0.000    2.613    0.871 compiler_machinery.py:342(run)
  1222/78    0.015    0.000    2.612    0.033 compiler_machinery.py:268(_runPass)
 3666/234    0.002    0.000    2.591    0.011 compiler_machinery.py:272(check)
     47/7    0.000    0.000    2.068    0.295 typed_passes.py:103(run_pass)
     47/7    0.000    0.000    2.068    0.295 typed_passes.py:66(type_inference_stage)
     47/7    0.000    0.000    2.062    0.295 typeinfer.py:1067(propagate)
    98/17    0.012    0.000    2.062    0.121 typeinfer.py:142(propagate)
  790/277    0.003    0.000    2.043    0.007 typeinfer.py:580(resolve)
  790/277    0.001    0.000    2.038    0.007 typeinfer.py:1519(resolve_call)
  816/281    0.000    0.000    2.038    0.007 context.py:189(resolve_function_type)
  816/281    0.001    0.000    2.037    0.007 context.py:233(_resolve_user_function_type)
  355/101    0.001    0.000    2.013    0.020 typeinfer.py:570(__call__)
   131/48    0.000    0.000    1.989    0.041 functions.py:534(get_call_type)
   131/48    0.000    0.000    1.988    0.041 dispatcher.py:348(get_call_template)
  849/471    0.008    0.000    1.858    0.004 functions.py:281(get_call_type)
3207/1767    0.003    0.000    1.816    0.001 templates.py:349(apply)
