#=====================================================
# File created:        Mon-11-Mar-2024-at-02-01-33AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.799292
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2579.0575  0.2553 
   00001    0.6728   -3829.2319  0.2732 
   00002    0.6092   -4560.3226  0.2747 
   00003    0.5648   -5128.0941  0.2678 
   00004    0.5336   -5424.0124  0.2599 
   00005    0.5160   -5801.7301  0.2713 
   00006    0.4796   -5963.3164  0.2719 
   00007    0.4996   -6170.0320  0.2722 
   00008    0.5036   -6306.3966  0.2627 
   00009    0.4588   -6455.3669  0.2752 
   00010    0.4692   -6508.6969  0.2839 
   00011    0.4432   -6674.0389  0.2943 
   00012    0.4676   -6800.9044  0.2893 
   00013    0.4548   -6806.7948  0.2995 
   00014    0.4808   -6819.3923  0.2995 
   00015    0.4508   -6932.0561  0.2959 
   00016    0.4400   -7015.7944  0.3077 
   00017    0.4444   -6946.4541  0.3020 
   00018    0.4364   -6982.1366  0.3062 
   00019    0.4516   -6991.0652  0.3047 
   00020    0.4480   -6998.7463  0.3074 
   00021    0.4492   -7188.2297  0.3239 
   00022    0.4352   -7211.2403  0.3241 
   00023    0.4288   -7212.8886  0.3272 
   00024    0.4236   -7264.4361  0.3325 
   00025    0.4440   -7222.2451  0.3386 
   00026    0.4316   -7207.2525  0.3410 
   00027    0.4420   -7335.3603  0.3383 
   00028    0.4232   -7419.7970  0.3445 
   00029    0.4296   -7427.0811  0.3453 
   00030    0.4320   -7425.6989  0.3592 
   00031    0.4080   -7469.6314  0.3618 
   00032    0.4192   -7474.5406  0.3556 
   00033    0.4320   -7574.3631  0.3644 
   00034    0.4116   -7565.1351  0.3673 
   00035    0.4172   -7516.0586  0.3650 
   00036    0.4164   -7558.7715  0.3598 
   00037    0.4276   -7511.7908  0.3622 
   00038    0.4196   -7608.1764  0.3631 
   00039    0.4004   -7653.0157  0.3678 
   00040    0.4188   -7636.1322  0.3707 
   00041    0.4080   -7617.4845  0.3726 
   00042    0.4168   -7604.2543  0.3693 
   00043    0.4184   -7541.9187  0.3715 
   00044    0.4296   -7549.1597  0.3758 
   00045    0.4256   -7664.2303  0.3776 
   00046    0.3984   -7620.7384  0.3762 
