#=====================================================
# File created:        Tue-12-Mar-2024-at-08-07-35AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.616733
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2462.8345  0.2619 
   00001    0.6888   -3704.8269  0.2798 
   00002    0.6280   -4514.4793  0.2824 
   00003    0.5816   -5023.9539  0.2917 
   00004    0.5556   -5483.2250  0.2911 
   00005    0.5460   -5889.0523  0.2993 
   00006    0.5124   -6144.3921  0.2975 
   00007    0.5268   -6338.9334  0.3002 
   00008    0.5020   -6525.2113  0.2991 
   00009    0.4928   -6714.2089  0.3043 
   00010    0.4732   -6815.0112  0.3067 
   00011    0.4696   -6956.9313  0.3203 
   00012    0.4824   -7138.7362  0.3282 
   00013    0.4560   -7231.5564  0.3369 
   00014    0.4676   -7308.0532  0.3428 
   00015    0.4628   -7379.3125  0.3424 
   00016    0.4556   -7422.7796  0.3455 
   00017    0.4544   -7524.2085  0.3496 
   00018    0.4556   -7551.2391  0.3501 
   00019    0.4440   -7658.3159  0.3519 
   00020    0.4320   -7709.9127  0.3571 
   00021    0.4544   -7698.2957  0.3651 
   00022    0.4376   -7718.4830  0.3647 
   00023    0.4248   -7726.5179  0.3660 
   00024    0.4484   -7790.6595  0.3690 
   00025    0.4348   -7839.5318  0.3749 
   00026    0.4576   -7842.9666  0.3807 
   00027    0.4256   -7884.9042  0.3812 
   00028    0.4436   -7861.0523  0.3742 
   00029    0.4408   -7938.8553  0.3789 
   00030    0.4368   -7930.7683  0.3847 
   00031    0.4128   -7942.4626  0.3933 
   00032    0.4484   -7948.3577  0.3923 
   00033    0.4312   -7977.3062  0.3919 
   00034    0.4216   -8015.0213  0.3941 
   00035    0.4340   -8040.1871  0.3973 
   00036    0.4216   -8011.0087  0.4009 
   00037    0.4224   -8055.3781  0.4084 
   00038    0.4364   -8063.2172  0.4043 
   00039    0.4020   -8084.2354  0.4118 
   00040    0.4088   -8102.8762  0.4165 
   00041    0.4292   -8118.3421  0.4135 
   00042    0.4444   -8134.2424  0.4145 
   00043    0.4188   -8162.7341  0.4116 
   00044    0.4224   -8178.7349  0.4158 
   00045    0.4164   -8213.7756  0.4223 
   00046    0.4252   -8244.7722  0.4216 
   00047    0.4188   -8229.7215  0.4200 
   00048    0.4352   -8209.4939  0.4270 
   00049    0.4204   -8211.1726  0.4204 
   00050    0.4176   -8211.6009  0.4197 
