#=====================================================
# File created:        Wed-13-Mar-2024-at-01-31-59AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.554908
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2501.0310  0.2668 
   00001    0.6820   -3691.6272  0.2818 
   00002    0.6072   -4538.6160  0.2899 
   00003    0.5720   -5070.6191  0.2875 
   00004    0.5504   -5445.1017  0.2965 
   00005    0.5328   -5811.8245  0.2925 
   00006    0.5088   -6173.1344  0.2898 
   00007    0.5080   -6439.7879  0.2935 
   00008    0.4888   -6662.1157  0.2922 
   00009    0.4928   -6876.5762  0.2936 
   00010    0.4660   -6961.2105  0.2961 
   00011    0.4728   -7049.3446  0.3012 
   00012    0.4796   -7165.0018  0.2985 
   00013    0.4688   -7248.6016  0.3004 
   00014    0.4700   -7373.7095  0.2982 
   00015    0.4428   -7463.6823  0.3022 
   00016    0.4452   -7510.4259  0.3095 
   00017    0.4512   -7562.1621  0.3009 
   00018    0.4560   -7614.4175  0.3070 
   00019    0.4556   -7642.0167  0.3075 
   00020    0.4536   -7672.9960  0.3125 
   00021    0.4348   -7723.6229  0.3207 
   00022    0.4432   -7763.5987  0.3271 
   00023    0.4428   -7808.4644  0.3337 
   00024    0.4384   -7777.6196  0.3346 
   00025    0.4300   -7804.7775  0.3321 
   00026    0.4448   -7845.0554  0.3418 
   00027    0.4440   -7871.2555  0.3390 
   00028    0.4664   -7899.9938  0.3451 
   00029    0.4420   -7854.9522  0.3410 
   00030    0.4448   -7925.8637  0.3448 
   00031    0.4136   -7935.2803  0.3420 
   00032    0.4212   -7916.3085  0.3412 
   00033    0.4216   -7958.3796  0.3384 
   00034    0.4196   -7922.1462  0.3369 
   00035    0.4452   -7977.3061  0.3317 
   00036    0.4276   -7997.9619  0.3369 
   00037    0.4420   -7991.0654  0.3384 
   00038    0.4228   -8008.6766  0.3419 
   00039    0.4268   -8031.5676  0.3435 
   00040    0.4340   -8065.8559  0.3457 
   00041    0.4292   -8071.9537  0.3428 
   00042    0.4336   -8082.1776  0.3421 
   00043    0.4284   -8063.4018  0.3499 
   00044    0.4364   -8023.3626  0.3498 
   00045    0.4316   -8092.2095  0.3506 
   00046    0.4164   -8047.8401  0.3480 
   00047    0.4144   -8111.5748  0.3459 
   00048    0.4100   -8130.6170  0.3424 
   00049    0.4200   -8116.6882  0.3481 
   00050    0.4140   -8172.0203  0.3446 
