LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    754/1    0.003    0.000    3.576    3.576 {built-in method builtins.exec}
        1    0.000    0.000    3.576    3.576 LebwohlLasher5.py:1(<module>)
        1    0.000    0.000    2.832    2.832 LebwohlLasher5.py:282(main)
        3    0.000    0.000    2.804    0.935 dispatcher.py:388(_compile_for_args)
    138/3    0.001    0.000    2.770    0.923 dispatcher.py:915(compile)
     33/3    0.000    0.000    2.770    0.923 dispatcher.py:124(compile)
     33/3    0.000    0.000    2.770    0.923 dispatcher.py:131(_compile_cached)
     33/3    0.000    0.000    2.770    0.923 dispatcher.py:146(_compile_core)
     33/3    0.000    0.000    2.769    0.923 compiler.py:736(compile_extra)
 1677/327    0.002    0.000    2.587    0.008 compiler_lock.py:32(_acquire_compile_lock)
     48/3    0.000    0.000    2.540    0.847 compiler.py:454(compile_extra)
     48/3    0.000    0.000    2.539    0.846 compiler.py:523(_compile_bytecode)
     48/3    0.000    0.000    2.539    0.846 compiler.py:477(_compile_core)
     48/3    0.002    0.000    2.521    0.840 compiler_machinery.py:342(run)
  1248/78    0.015    0.000    2.520    0.032 compiler_machinery.py:268(_runPass)
 3744/234    0.002    0.000    2.498    0.011 compiler_machinery.py:272(check)
    48/11    0.000    0.000    1.859    0.169 typed_passes.py:103(run_pass)
    48/11    0.000    0.000    1.859    0.169 typed_passes.py:66(type_inference_stage)
    48/11    0.000    0.000    1.849    0.168 typeinfer.py:1067(propagate)
   100/25    0.004    0.000    1.849    0.074 typeinfer.py:142(propagate)
  834/337    0.003    0.000    1.823    0.005 typeinfer.py:580(resolve)
  834/337    0.001    0.000    1.817    0.005 typeinfer.py:1519(resolve_call)
  900/355    0.000    0.000    1.816    0.005 context.py:189(resolve_function_type)
  900/355    0.001    0.000    1.816    0.005 context.py:233(_resolve_user_function_type)
  365/131    0.001    0.000    1.780    0.014 typeinfer.py:570(__call__)
   135/64    0.000    0.000    1.748    0.027 functions.py:534(get_call_type)
   135/64    0.000    0.000    1.746    0.027 dispatcher.py:348(get_call_template)
    48/31    0.001    0.000    1.740    0.056 typed_passes.py:435(run_pass)
  951/587    0.009    0.000    1.637    0.003 functions.py:281(get_call_type)
