#=====================================================
# File created:        Wed-13-Mar-2024-at-12-35-23AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.838071
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2515.0731  0.2800 
   00001    0.6820   -3728.1468  0.2841 
   00002    0.6324   -4495.9916  0.2927 
   00003    0.5600   -5071.1811  0.2974 
   00004    0.5412   -5449.9823  0.2995 
   00005    0.5116   -5795.5251  0.3003 
   00006    0.5084   -6075.5092  0.3032 
   00007    0.4732   -6300.7457  0.2987 
   00008    0.4732   -6427.4526  0.3061 
   00009    0.4664   -6595.1095  0.3110 
   00010    0.4588   -6643.1373  0.3169 
   00011    0.4564   -6754.8778  0.3237 
   00012    0.4424   -6781.5278  0.3273 
   00013    0.4584   -6927.6994  0.3306 
   00014    0.4552   -6971.8984  0.3302 
   00015    0.4644   -7008.1277  0.3308 
   00016    0.4388   -7113.1530  0.3364 
   00017    0.4348   -7158.3565  0.3447 
   00018    0.4424   -7227.5213  0.3432 
   00019    0.4484   -7268.1072  0.3484 
   00020    0.4288   -7185.6187  0.3527 
   00021    0.4068   -7267.4960  0.3656 
   00022    0.4184   -7288.1436  0.3749 
   00023    0.4372   -7359.5250  0.3842 
   00024    0.4328   -7347.3134  0.3931 
   00025    0.4268   -7370.4323  0.3997 
   00026    0.4340   -7387.6471  0.4014 
   00027    0.4452   -7353.6436  0.3970 
   00028    0.4424   -7357.0753  0.3917 
   00029    0.4504   -7395.3270  0.3885 
   00030    0.4164   -7401.3621  0.3877 
   00031    0.4408   -7388.6991  0.3992 
   00032    0.4168   -7434.9891  0.4028 
   00033    0.4356   -7448.3744  0.4020 
   00034    0.4096   -7489.9915  0.3999 
   00035    0.4276   -7459.8681  0.4051 
   00036    0.4396   -7384.8620  0.4055 
   00037    0.4256   -7433.7511  0.3963 
   00038    0.4096   -7438.3204  0.4034 
   00039    0.4212   -7412.7284  0.4055 
   00040    0.4304   -7376.9805  0.4129 
   00041    0.4184   -7358.2883  0.4132 
   00042    0.4384   -7344.6312  0.4170 
   00043    0.4208   -7402.2941  0.4231 
   00044    0.4272   -7486.2266  0.4339 
   00045    0.4284   -7442.2827  0.4384 
   00046    0.4236   -7497.0957  0.4387 
   00047    0.4348   -7507.2433  0.4377 
   00048    0.4300   -7523.6468  0.4354 
   00049    0.4040   -7544.7006  0.4311 
   00050    0.4244   -7539.9922  0.4374 
   00051    0.4160   -7570.2946  0.4429 
   00052    0.3960   -7601.2308  0.4509 
   00053    0.4208   -7608.5183  0.4470 
   00054    0.4300   -7570.7395  0.4514 
   00055    0.4376   -7526.1656  0.4506 
   00056    0.4104   -7480.1905  0.4491 
   00057    0.4228   -7493.1897  0.4513 
   00058    0.4288   -7538.1149  0.4581 
   00059    0.4224   -7595.3802  0.4655 
   00060    0.4088   -7597.8231  0.4652 
   00061    0.4072   -7605.3105  0.4659 
   00062    0.4212   -7620.9140  0.4670 
   00063    0.4168   -7659.6013  0.4655 
   00064    0.4036   -7691.7736  0.4699 
   00065    0.4184   -7654.6575  0.4711 
   00066    0.4248   -7724.7504  0.4730 
   00067    0.3884   -7696.6726  0.4694 
   00068    0.4064   -7681.7338  0.4677 
   00069    0.4244   -7652.0838  0.4711 
   00070    0.4336   -7709.2090  0.4724 
   00071    0.4192   -7716.8933  0.4765 
   00072    0.4072   -7690.7810  0.4779 
   00073    0.4180   -7689.4232  0.4764 
   00074    0.3892   -7658.0215  0.4761 
   00075    0.4076   -7660.5758  0.4741 
   00076    0.4280   -7653.4588  0.4730 
   00077    0.4008   -7682.1974  0.4845 
   00078    0.4204   -7674.2005  0.4847 
   00079    0.4304   -7679.1594  0.4870 
   00080    0.4196   -7673.1717  0.4882 
   00081    0.4112   -7725.4819  0.4938 
   00082    0.4028   -7721.3526  0.4984 
   00083    0.4108   -7740.6371  0.4980 
   00084    0.4200   -7715.8281  0.4975 
   00085    0.4060   -7661.5640  0.5015 
   00086    0.4060   -7742.2372  0.5066 
   00087    0.4036   -7696.2653  0.5059 
   00088    0.4276   -7722.7609  0.5029 
   00089    0.4116   -7747.5353  0.4960 
   00090    0.4112   -7716.5133  0.5016 
   00091    0.4140   -7685.0914  0.5005 
   00092    0.3952   -7672.4786  0.5027 
   00093    0.4228   -7728.2772  0.5053 
   00094    0.3936   -7772.8621  0.5035 
   00095    0.3948   -7752.1153  0.5019 
   00096    0.4152   -7789.5100  0.5096 
   00097    0.4208   -7827.5597  0.5116 
   00098    0.3860   -7851.7416  0.5105 
   00099    0.3980   -7819.3606  0.5109 
   00100    0.4016   -7801.7632  0.5057 
   00101    0.4224   -7780.7429  0.5009 
   00102    0.4200   -7816.4124  0.4984 
   00103    0.4020   -7814.8033  0.4949 
   00104    0.4168   -7794.6736  0.4969 
   00105    0.4292   -7818.9586  0.5069 
   00106    0.4044   -7737.5273  0.5029 
   00107    0.4324   -7741.5114  0.5055 
   00108    0.4132   -7729.4440  0.5047 
   00109    0.3968   -7690.6074  0.4932 
   00110    0.4096   -7727.0853  0.5014 
   00111    0.4048   -7712.3939  0.5065 
   00112    0.4156   -7710.5245  0.5080 
   00113    0.4100   -7737.4634  0.5012 
   00114    0.4192   -7680.0644  0.5049 
   00115    0.4024   -7739.1706  0.5060 
   00116    0.4168   -7754.7475  0.5061 
   00117    0.4116   -7783.5446  0.5098 
   00118    0.4120   -7788.2297  0.5132 
   00119    0.3968   -7790.1747  0.5120 
   00120    0.4108   -7810.3080  0.4998 
   00121    0.4188   -7775.8295  0.5013 
   00122    0.4096   -7796.6708  0.4955 
   00123    0.4128   -7799.2862  0.4967 
   00124    0.4148   -7746.6367  0.4954 
   00125    0.4060   -7753.9657  0.4923 
   00126    0.4136   -7683.9390  0.5019 
   00127    0.4104   -7733.4224  0.5041 
   00128    0.4024   -7705.2234  0.5015 
   00129    0.3948   -7769.9214  0.5046 
   00130    0.3992   -7781.9236  0.5056 
   00131    0.4132   -7750.8600  0.5127 
   00132    0.3996   -7727.8169  0.5148 
   00133    0.4148   -7709.5653  0.5144 
   00134    0.4128   -7699.0250  0.5177 
   00135    0.4204   -7754.2757  0.5194 
   00136    0.4092   -7815.5758  0.5201 
   00137    0.4104   -7809.4595  0.5159 
   00138    0.4016   -7847.4382  0.5198 
   00139    0.3856   -7891.9329  0.5302 
   00140    0.4080   -7794.1075  0.5246 
   00141    0.4052   -7800.6862  0.5268 
   00142    0.4116   -7843.8552  0.5237 
   00143    0.4160   -7800.9803  0.5158 
   00144    0.4168   -7772.7624  0.5181 
   00145    0.4348   -7808.9815  0.5176 
   00146    0.3860   -7753.5832  0.5122 
   00147    0.4216   -7732.2658  0.5106 
   00148    0.4188   -7776.8013  0.5114 
   00149    0.4100   -7766.9120  0.5214 
   00150    0.4288   -7742.6990  0.5257 
   00151    0.4236   -7793.3773  0.5225 
   00152    0.4320   -7808.2871  0.5230 
   00153    0.4188   -7850.9202  0.5292 
   00154    0.3936   -7833.2837  0.5381 
   00155    0.3972   -7874.2849  0.5397 
   00156    0.4148   -7895.6472  0.5422 
   00157    0.3872   -7899.9991  0.5385 
   00158    0.3976   -7879.0984  0.5462 
   00159    0.3904   -7888.2939  0.5406 
   00160    0.4156   -7867.0953  0.5494 
   00161    0.4136   -7857.3289  0.5501 
   00162    0.3976   -7862.0838  0.5508 
   00163    0.4192   -7860.0715  0.5443 
   00164    0.3944   -7852.3742  0.5469 
   00165    0.4028   -7871.9966  0.5450 
   00166    0.3892   -7885.4711  0.5419 
   00167    0.4064   -7874.8682  0.5455 
   00168    0.3972   -7847.4408  0.5429 
   00169    0.4072   -7889.7214  0.5467 
   00170    0.3904   -7941.9010  0.5497 
   00171    0.3936   -7964.5193  0.5533 
   00172    0.3932   -7952.4375  0.5490 
   00173    0.4072   -7878.3381  0.5425 
   00174    0.4128   -7901.3766  0.5370 
   00175    0.3952   -7915.9118  0.5424 
   00176    0.3948   -7947.8456  0.5426 
   00177    0.3956   -7939.6624  0.5444 
   00178    0.4104   -7913.1814  0.5468 
   00179    0.3984   -7876.7661  0.5483 
   00180    0.4028   -7867.2056  0.5469 
   00181    0.4060   -7889.7978  0.5451 
   00182    0.3892   -7954.5878  0.5406 
   00183    0.3988   -7967.9654  0.5380 
   00184    0.3988   -7989.1892  0.5386 
   00185    0.4044   -7977.4596  0.5397 
   00186    0.4008   -7899.3044  0.5380 
   00187    0.4156   -7864.6589  0.5387 
   00188    0.4088   -7834.9658  0.5308 
   00189    0.3976   -7839.0858  0.5280 
   00190    0.4176   -7891.3198  0.5357 
   00191    0.3996   -7872.7005  0.5376 
   00192    0.4192   -7898.9364  0.5406 
   00193    0.4024   -7838.1194  0.5401 
   00194    0.4220   -7878.9318  0.5422 
   00195    0.4040   -7874.4878  0.5357 
   00196    0.3992   -7838.5547  0.5397 
   00197    0.3864   -7850.8362  0.5313 
   00198    0.4164   -7853.6404  0.5305 
   00199    0.4024   -7848.9364  0.5281 
   00200    0.4148   -7826.0434  0.5281 
   00201    0.4004   -7860.1144  0.5341 
   00202    0.4048   -7821.7795  0.5339 
   00203    0.4104   -7883.0622  0.5358 
   00204    0.4036   -7894.1364  0.5390 
   00205    0.4188   -7886.2429  0.5426 
   00206    0.4096   -7880.7017  0.5512 
   00207    0.3988   -7846.8568  0.5459 
   00208    0.4072   -7875.0114  0.5461 
   00209    0.4124   -7922.3890  0.5508 
   00210    0.3996   -7898.9357  0.5451 
   00211    0.4144   -7846.6433  0.5423 
   00212    0.4056   -7865.6987  0.5428 
   00213    0.3924   -7842.0206  0.5444 
   00214    0.4056   -7911.5933  0.5474 
   00215    0.3980   -7931.5384  0.5487 
   00216    0.3892   -7912.1176  0.5448 
   00217    0.3876   -7967.1894  0.5452 
   00218    0.3952   -7876.4806  0.5518 
   00219    0.4100   -7866.1041  0.5517 
   00220    0.4116   -7828.9550  0.5502 
   00221    0.4212   -7844.3025  0.5470 
   00222    0.4016   -7835.7331  0.5470 
   00223    0.4204   -7849.0920  0.5505 
   00224    0.4020   -7840.5144  0.5475 
   00225    0.4100   -7857.1346  0.5488 
   00226    0.4140   -7876.1335  0.5480 
   00227    0.3912   -7808.1400  0.5451 
   00228    0.4040   -7785.9188  0.5528 
   00229    0.4116   -7814.7167  0.5633 
   00230    0.3972   -7780.2018  0.5660 
