LebwohlLasher6.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.389, Time: 0.761191 s
         12028564 function calls (11355259 primitive calls) in 4.340 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    759/1    0.003    0.000    4.343    4.343 {built-in method builtins.exec}
        1    0.000    0.000    4.343    4.343 LebwohlLasher6.py:1(<module>)
        1    0.000    0.000    3.665    3.665 LebwohlLasher6.py:305(main)
        3    0.000    0.000    3.638    1.213 dispatcher.py:388(_compile_for_args)
    153/3    0.001    0.000    3.618    1.206 dispatcher.py:915(compile)
     38/3    0.000    0.000    3.617    1.206 dispatcher.py:124(compile)
     38/3    0.000    0.000    3.617    1.206 dispatcher.py:131(_compile_cached)
     38/3    0.001    0.000    3.617    1.206 dispatcher.py:146(_compile_core)
     38/3    0.000    0.000    3.617    1.206 compiler.py:736(compile_extra)
 2076/327    0.002    0.000    3.455    0.011 compiler_lock.py:32(_acquire_compile_lock)
     59/3    0.000    0.000    3.421    1.140 compiler.py:454(compile_extra)
     59/3    0.000    0.000    3.419    1.140 compiler.py:523(_compile_bytecode)
     59/3    0.000    0.000    3.419    1.140 compiler.py:477(_compile_core)
     59/3    0.002    0.000    3.418    1.139 compiler_machinery.py:342(run)
  1534/78    0.018    0.000    3.417    0.044 compiler_machinery.py:268(_runPass)
 4602/234    0.003    0.000    3.395    0.015 compiler_machinery.py:272(check)
    59/36    0.001    0.000    2.447    0.068 typed_passes.py:435(run_pass)
    59/18    0.001    0.000    2.419    0.134 typed_passes.py:103(run_pass)
    59/18    0.001    0.000    2.419    0.134 typed_passes.py:66(type_inference_stage)
    59/18    0.000    0.000    2.405    0.134 typeinfer.py:1067(propagate)
   122/39    0.004    0.000    2.405    0.062 typeinfer.py:142(propagate)
 1092/469    0.004    0.000    2.372    0.005 typeinfer.py:580(resolve)
 1092/469    0.001    0.000    2.363    0.005 typeinfer.py:1519(resolve_call)
 1246/487    0.001    0.000    2.362    0.005 context.py:189(resolve_function_type)
 1246/487    0.002    0.000    2.362    0.005 context.py:233(_resolve_user_function_type)
  447/161    0.001    0.000    2.306    0.014 typeinfer.py:570(__call__)
   150/70    0.000    0.000    2.269    0.032 functions.py:534(get_call_type)
   150/70    0.000    0.000    2.267    0.032 dispatcher.py:348(get_call_template)
 1248/901    0.012    0.000    1.689    0.002 functions.py:281(get_call_type)
4622/3278    0.004    0.000    1.609    0.000 templates.py:349(apply)
    59/36    0.000    0.000    1.567    0.044 lowering.py:182(lower)
  890/519    0.001    0.000    1.542    0.003 templates.py:607(generic)
  890/519    0.002    0.000    1.535    0.003 templates.py:698(_get_impl)
   149/96    0.001    0.000    1.508    0.016 templates.py:749(_build_impl)
    59/36    0.000    0.000    1.352    0.038 lowering.py:233(lower_normal_function)
    59/36    0.001    0.000    1.342    0.037 lowering.py:250(lower_function_body)
  227/128    0.004    0.000    1.340    0.010 lowering.py:275(lower_block)
3293/2116    0.008    0.000    1.329    0.001 lowering.py:457(lower_inst)
 1469/959    0.002    0.000    1.187    0.001 lowering.py:665(lower_assign)
  743/515    0.002    0.000    1.170    0.002 lowering.py:1185(lower_expr)
       79    0.002    0.000    1.098    0.014 __init__.py:1(<module>)
    24775    0.643    0.000    0.855    0.000 ffi.py:150(__call__)
    68/60    0.000    0.000    0.829    0.014 base.py:844(compile_subroutine)
    21/18    0.000    0.000    0.828    0.046 base.py:806(_compile_subroutine_no_cache)
 1371/604    0.002    0.000    0.802    0.001 <frozen importlib._bootstrap>:1165(_find_and_load)
   806/46    0.002    0.000    0.801    0.017 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   778/47    0.001    0.000    0.798    0.017 <frozen importlib._bootstrap>:666(_load_unlocked)
   691/47    0.001    0.000    0.797    0.017 <frozen importlib._bootstrap_external>:934(exec_module)
  1975/60    0.001    0.000    0.795    0.013 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    21/18    0.000    0.000    0.777    0.043 compiler.py:829(compile_internal)
  505/371    0.001    0.000    0.760    0.002 base.py:1186(__call__)
  505/371    0.001    0.000    0.759    0.002 base.py:1215(wrapper)
26561/25559    0.014    0.000    0.752    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
   647/65    0.000    0.000    0.752    0.012 {built-in method builtins.__import__}
       60    0.001    0.000    0.716    0.012 codegen.py:739(finalize)
  380/243    0.000    0.000    0.698    0.003 codegen.py:565(_ensure_finalized)
    57/55    0.000    0.000    0.640    0.012 base.py:873(compile_internal)
       38    0.000    0.000    0.640    0.017 cpu.py:225(get_executable)
       38    0.000    0.000    0.637    0.017 codegen.py:975(get_pointer_to_function)
  198/170    0.001    0.000    0.489    0.003 lowering.py:915(lower_call)
  186/163    0.001    0.000    0.484    0.003 lowering.py:1157(_lower_call_normal)
       11    0.000    0.000    0.459    0.042 array_exprs.py:354(_lower_array_expr)
       60    0.000    0.000    0.402    0.007 codegen.py:781(_finalize_final_module)
    18/15    0.000    0.000    0.382    0.025 templates.py:1073(_get_signature)
    26/18    0.000    0.000    0.382    0.021 functions.py:389(get_call_type)
    12/10    0.000    0.000    0.382    0.038 templates.py:1131(generic)
     1674    0.002    0.000    0.376    0.000 pprint.py:57(pformat)
      101    0.001    0.000    0.373    0.004 codegen.py:723(add_ir_module)
     1674    0.001    0.000    0.372    0.000 pprint.py:156(pformat)
38726/1674    0.025    0.000    0.369    0.000 pprint.py:168(_format)
       60    0.000    0.000    0.303    0.005 codegen.py:996(_finalize_specific)
  177/157    0.002    0.000    0.264    0.002 lowering.py:741(lower_binop)
      107    0.000    0.000    0.261    0.002 codegen.py:1058(wrapper)
      531    0.003    0.000    0.260    0.000 postproc.py:71(run)
       60    0.000    0.000    0.260    0.004 executionengine.py:87(finalize_object)
       60    0.000    0.000    0.259    0.004 codegen.py:667(_optimize_final_module)
        1    0.000    0.000    0.259    0.259 pyplot.py:1(<module>)
      120    0.000    0.000    0.259    0.002 passmanagers.py:665(run)
3609/3496    0.020    0.000    0.237    0.000 {built-in method builtins.__build_class__}
     1615    0.002    0.000    0.234    0.000 pprint.py:206(_pprint_dict)
    75545    0.027    0.000    0.218    0.000 pprint.py:454(_repr)
3976/2495    0.005    0.000    0.214    0.000 functools.py:981(__get__)
  541/296    0.001    0.000    0.213    0.001 base.py:261(refresh)
       59    0.001    0.000    0.211    0.004 compiler.py:412(__init__)
      301    0.001    0.000    0.209    0.001 module.py:233(__repr__)
103594/44290    0.026    0.000    0.207    0.000 _utils.py:44(__str__)
      301    0.001    0.000    0.206    0.001 module.py:207(_get_body_lines)
      301    0.001    0.000    0.205    0.001 module.py:212(<listcomp>)
      691    0.002    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      928    0.000    0.000    0.197    0.000 values.py:1010(__str__)
      928    0.000    0.000    0.196    0.000 values.py:1003(descr)
273793/47477    0.141    0.000    0.191    0.000 ir.py:317(_rec_list_vars)
190030/97032    0.048    0.000    0.190    0.000 {method 'format' of 'str' objects}
     1615    0.062    0.000    0.186    0.000 pprint.py:377(_format_dict_items)
147590/75545    0.028    0.000    0.186    0.000 pprint.py:463(format)
      541    0.004    0.000    0.182    0.000 cpu.py:60(load_additional_registries)
      108    0.001    0.000    0.179    0.002 values.py:996(descr_body)
     2778    0.002    0.000    0.178    0.000 values.py:1139(descr)
       10    0.000    0.000    0.178    0.018 numbers.py:206(int_power_impl)
     2778    0.004    0.000    0.174    0.000 values.py:1141(<listcomp>)
    39336    0.009    0.000    0.171    0.000 ir.py:350(list_vars)
147590/75545    0.064    0.000    0.170    0.000 pprint.py:551(_safe_repr)
      645    0.001    0.000    0.161    0.000 typeinfer.py:699(__call__)
       59    0.000    0.000    0.158    0.003 untyped_passes.py:79(run_pass)
       59    0.002    0.000    0.158    0.003 interpreter.py:1352(interpret)
       25    0.000    0.000    0.157    0.006 npyimpl.py:335(numpy_ufunc_kernel)
    29358    0.027    0.000    0.156    0.000 values.py:544(_to_string)
