#=====================================================
# File created:        Wed-13-Mar-2024-at-12-52-11AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.835688
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2500.9403  0.2694 
   00001    0.6940   -3849.4053  0.2717 
   00002    0.6056   -4541.7993  0.2757 
   00003    0.5588   -5046.4620  0.2888 
   00004    0.5580   -5435.8854  0.3013 
   00005    0.5312   -5751.0032  0.3084 
   00006    0.4912   -5990.0277  0.3045 
   00007    0.4920   -6132.0051  0.3045 
   00008    0.4712   -6290.1235  0.3046 
   00009    0.4764   -6404.7182  0.2988 
   00010    0.4940   -6522.4403  0.3011 
   00011    0.4832   -6675.7658  0.3029 
   00012    0.4728   -6710.4964  0.3098 
   00013    0.4572   -6806.1653  0.3209 
   00014    0.4612   -6835.4135  0.3175 
   00015    0.4588   -6844.0295  0.3105 
   00016    0.4580   -6920.2399  0.3042 
   00017    0.4272   -6941.8670  0.3099 
   00018    0.4508   -6902.9714  0.3064 
   00019    0.4408   -7022.5795  0.3064 
   00020    0.4468   -6999.0602  0.3113 
   00021    0.4452   -7079.1421  0.3083 
   00022    0.4416   -7121.7379  0.3123 
   00023    0.4416   -7176.8761  0.3108 
   00024    0.4236   -7289.1833  0.3132 
   00025    0.4300   -7311.3849  0.3211 
   00026    0.4224   -7335.8336  0.3198 
   00027    0.4384   -7350.3577  0.3115 
   00028    0.4340   -7343.3020  0.3123 
   00029    0.4372   -7372.0033  0.3197 
   00030    0.4200   -7347.3231  0.3189 
   00031    0.4368   -7380.5927  0.3239 
   00032    0.4424   -7410.9227  0.3275 
   00033    0.4336   -7352.5052  0.3278 
   00034    0.4272   -7406.3094  0.3269 
   00035    0.4184   -7442.2168  0.3328 
   00036    0.4324   -7493.9924  0.3314 
   00037    0.4416   -7450.5044  0.3252 
   00038    0.4312   -7463.7762  0.3267 
   00039    0.4404   -7437.9017  0.3256 
   00040    0.4220   -7455.6093  0.3242 
   00041    0.4408   -7491.4023  0.3199 
   00042    0.4192   -7470.7595  0.3137 
   00043    0.4080   -7491.5537  0.3110 
   00044    0.4144   -7486.0169  0.3088 
   00045    0.4236   -7527.4271  0.3045 
   00046    0.4284   -7573.7970  0.3076 
   00047    0.4072   -7549.4309  0.3044 
   00048    0.4040   -7536.9723  0.3044 
   00049    0.4184   -7538.0306  0.3133 
   00050    0.4156   -7516.1512  0.3090 
   00051    0.4228   -7535.1601  0.3061 
   00052    0.4108   -7539.8689  0.3142 
   00053    0.4308   -7652.0587  0.3122 
   00054    0.4144   -7672.3641  0.3181 
   00055    0.4088   -7652.2601  0.3152 
   00056    0.4392   -7630.6084  0.3122 
   00057    0.4180   -7563.8421  0.3073 
   00058    0.4108   -7554.3806  0.3028 
   00059    0.4276   -7615.8196  0.3025 
