#=====================================================
# File created:        Tue-12-Mar-2024-at-06-49-37AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.070444
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2609.1866  0.2571 
   00001    0.6596   -3665.1050  0.2655 
   00002    0.6000   -4371.1906  0.2641 
   00003    0.5688   -4965.1627  0.2595 
   00004    0.5520   -5269.0629  0.2515 
   00005    0.5256   -5630.8392  0.2524 
   00006    0.5080   -5874.0853  0.2566 
   00007    0.5064   -6059.1880  0.2656 
   00008    0.5064   -6245.9086  0.2601 
   00009    0.4848   -6322.4083  0.2699 
   00010    0.4792   -6465.3684  0.2691 
   00011    0.4824   -6598.0617  0.2663 
   00012    0.4812   -6717.9469  0.2603 
   00013    0.4508   -6793.8621  0.2634 
   00014    0.4608   -6916.3534  0.2710 
   00015    0.4680   -6944.3185  0.2681 
   00016    0.4468   -7038.0654  0.2738 
   00017    0.4600   -7121.6887  0.2726 
   00018    0.4476   -7207.9990  0.2717 
   00019    0.4440   -7180.0417  0.2771 
   00020    0.4524   -7223.9503  0.2802 
   00021    0.4680   -7244.4606  0.2781 
   00022    0.4472   -7315.4877  0.2743 
   00023    0.4552   -7299.4788  0.2666 
   00024    0.4536   -7350.4503  0.2662 
   00025    0.4632   -7423.3921  0.2681 
   00026    0.4388   -7444.8970  0.2803 
   00027    0.4624   -7432.1458  0.2713 
   00028    0.4376   -7431.9196  0.2694 
   00029    0.4452   -7509.4721  0.2756 
   00030    0.4460   -7584.1368  0.2773 
   00031    0.4432   -7648.2320  0.2692 
   00032    0.4588   -7697.9868  0.2677 
   00033    0.4392   -7699.6526  0.2698 
   00034    0.4360   -7730.5139  0.2772 
   00035    0.4368   -7735.3056  0.2757 
   00036    0.4508   -7754.7460  0.2705 
   00037    0.4404   -7763.2400  0.2683 
   00038    0.4328   -7867.1996  0.2719 
   00039    0.4372   -7871.8124  0.2704 
   00040    0.4164   -7865.5115  0.2760 
   00041    0.4276   -7871.6521  0.2748 
   00042    0.4436   -7900.6757  0.2747 
   00043    0.4440   -7892.7050  0.2695 
   00044    0.4292   -7880.7988  0.2648 
   00045    0.4384   -7907.9159  0.2677 
   00046    0.4440   -7946.6072  0.2671 
   00047    0.4324   -7910.9664  0.2611 
   00048    0.4244   -7938.6991  0.2594 
   00049    0.4324   -7910.1039  0.2676 
   00050    0.3964   -7942.4042  0.2694 
