LebwohlLasher7.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.327, Time: 0.067710 s
         1002448 function calls (986175 primitive calls) in 0.571 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.001    0.000    0.662    0.014 __init__.py:1(<module>)
    406/1    0.002    0.000    0.571    0.571 {built-in method builtins.exec}
        1    0.001    0.001    0.571    0.571 LebwohlLasher7.py:1(<module>)
    492/4    0.001    0.000    0.502    0.125 <frozen importlib._bootstrap>:1165(_find_and_load)
    486/4    0.001    0.000    0.502    0.125 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    464/5    0.001    0.000    0.501    0.100 <frozen importlib._bootstrap>:666(_load_unlocked)
  1186/10    0.000    0.000    0.500    0.050 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    390/6    0.000    0.000    0.499    0.083 <frozen importlib._bootstrap_external>:934(exec_module)
   501/16    0.000    0.000    0.475    0.030 {built-in method builtins.__import__}
   593/98    0.001    0.000    0.421    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.270    0.270 pyplot.py:1(<module>)
1197/1088    0.009    0.000    0.206    0.000 {built-in method builtins.__build_class__}
      100    0.000    0.000    0.150    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.148    0.001 artist.py:126(__init_subclass__)
      390    0.001    0.000    0.134    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.125    0.125 figure.py:1(<module>)
        1    0.000    0.000    0.119    0.119 colorbar.py:1(<module>)
      112    0.000    0.000    0.117    0.001 artist.py:1841(kwdoc)
      390    0.001    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      112    0.003    0.000    0.100    0.001 artist.py:1602(pprint_setters)
     4050    0.006    0.000    0.082    0.000 artist.py:1474(get_valid_values)
        1    0.000    0.000    0.071    0.071 contour.py:1(<module>)
        1    0.000    0.000    0.069    0.069 backend_bases.py:1(<module>)
    70/36    0.000    0.000    0.069    0.002 <frozen importlib._bootstrap_external>:1239(exec_module)
    70/36    0.003    0.000    0.069    0.002 {built-in method _imp.exec_dynamic}
        1    0.067    0.067    0.068    0.068 LebwohlLasher7.py:289(main)
     6793    0.036    0.000    0.058    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.055    0.055 rcsetup.py:1(<module>)
     6764    0.003    0.000    0.054    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.054    0.054 text.py:1(<module>)
      390    0.052    0.000    0.052    0.000 {method 'read' of '_io.BufferedReader' objects}
      390    0.049    0.000    0.049    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.043    0.043 collections.py:1(<module>)
        1    0.000    0.000    0.041    0.041 _axes.py:1(<module>)
      213    0.000    0.000    0.038    0.000 artist.py:1426(__init__)
      464    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      213    0.006    0.000    0.038    0.000 artist.py:1446(get_aliases)
        1    0.000    0.000    0.034    0.034 patches.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _sketches.py:1(<module>)
       70    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
       70    0.032    0.000    0.032    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.031    0.031 colors.py:1(<module>)
        2    0.000    0.000    0.031    0.015 _base.py:1(<module>)
      480    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     7095    0.003    0.000    0.026    0.000 __init__.py:272(_compile)
      213    0.008    0.000    0.025    0.000 artist.py:1521(get_setters)
      390    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
      390    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.023    0.008 core.py:1(<module>)
     5304    0.002    0.000    0.023    0.000 __init__.py:173(search)
      477    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  478/477    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      203    0.000    0.000    0.021    0.000 _compiler.py:738(compile)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
      742    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       30    0.006    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
     6397    0.005    0.000    0.017    0.000 inspect.py:2686(__init__)
      132    0.000    0.000    0.016    0.000 _docstring.py:38(__call__)
  122/111    0.000    0.000    0.016    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.015    0.015 _laplacian.py:1(<module>)
      657    0.000    0.000    0.014    0.000 inspect.py:3278(signature)
        2    0.000    0.000    0.014    0.007 core.py:235(read_style_directory)
      657    0.000    0.000    0.014    0.000 inspect.py:3024(from_callable)
