#=====================================================
# File created:        Mon-11-Mar-2024-at-06-15-32AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.666349
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2507.1709  0.2572 
   00001    0.6812   -3664.9639  0.2707 
   00002    0.6172   -4444.2832  0.2703 
   00003    0.5884   -5044.7872  0.2845 
   00004    0.5564   -5453.0221  0.2830 
   00005    0.5492   -5796.2231  0.2873 
   00006    0.5068   -6114.9252  0.2904 
   00007    0.5212   -6432.4572  0.2888 
   00008    0.4932   -6623.6064  0.2891 
   00009    0.4932   -6853.0103  0.2977 
   00010    0.4788   -6925.0482  0.3060 
   00011    0.4700   -7010.7595  0.3081 
   00012    0.4880   -7132.5113  0.3019 
   00013    0.4748   -7222.8732  0.3098 
   00014    0.4736   -7280.2573  0.3136 
   00015    0.4556   -7316.8363  0.3165 
   00016    0.4716   -7346.8408  0.3273 
   00017    0.4536   -7486.3509  0.3318 
   00018    0.4664   -7505.0143  0.3386 
   00019    0.4392   -7582.6829  0.3471 
   00020    0.4468   -7619.6848  0.3473 
   00021    0.4416   -7668.2772  0.3490 
   00022    0.4416   -7740.5652  0.3436 
   00023    0.4548   -7743.2089  0.3412 
   00024    0.4536   -7717.9813  0.3469 
   00025    0.4480   -7759.9435  0.3436 
   00026    0.4340   -7779.6707  0.3469 
   00027    0.4560   -7811.2884  0.3446 
   00028    0.4292   -7787.6845  0.3476 
   00029    0.4432   -7835.7266  0.3548 
   00030    0.4396   -7796.3211  0.3617 
   00031    0.4264   -7844.2863  0.3654 
   00032    0.4356   -7837.0809  0.3631 
   00033    0.4392   -7897.7808  0.3666 
   00034    0.4236   -7900.1996  0.3619 
   00035    0.4484   -7893.5650  0.3687 
   00036    0.4400   -7891.5304  0.3690 
   00037    0.4312   -7939.1320  0.3773 
   00038    0.4484   -7931.7109  0.3792 
   00039    0.4504   -7958.5237  0.3782 
   00040    0.4352   -7954.6449  0.3791 
   00041    0.4288   -7971.9042  0.3832 
   00042    0.4460   -8018.1369  0.3827 
   00043    0.4376   -8015.5491  0.3775 
   00044    0.4152   -8020.4627  0.3776 
   00045    0.4348   -8043.5730  0.3818 
   00046    0.4228   -8025.2759  0.3840 
   00047    0.4456   -8025.8690  0.3857 
   00048    0.4284   -8010.3178  0.3770 
   00049    0.4240   -8077.3407  0.3762 
   00050    0.4236   -8131.0138  0.3720 
