#=====================================================
# File created:        Tue-12-Mar-2024-at-08-17-11AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.797198
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2393.5068  0.2680 
   00001    0.6748   -3671.2390  0.2754 
   00002    0.6084   -4400.8457  0.2793 
   00003    0.6136   -4990.9425  0.2872 
   00004    0.5716   -5466.1705  0.2887 
   00005    0.5344   -5811.8480  0.2895 
   00006    0.5320   -6100.4660  0.2922 
   00007    0.5116   -6289.7224  0.2985 
   00008    0.5280   -6467.8298  0.3028 
   00009    0.5096   -6554.7432  0.2971 
   00010    0.4964   -6684.7264  0.2922 
   00011    0.4688   -6861.3219  0.2916 
   00012    0.4780   -6965.4405  0.3014 
   00013    0.4468   -7081.0415  0.3101 
   00014    0.4628   -7236.9010  0.3046 
   00015    0.4836   -7315.3320  0.3022 
   00016    0.4520   -7405.3816  0.3054 
   00017    0.4456   -7461.6585  0.3072 
   00018    0.4592   -7529.9316  0.3128 
   00019    0.4632   -7565.4139  0.3038 
   00020    0.4532   -7595.6975  0.3054 
   00021    0.4416   -7645.7380  0.3092 
   00022    0.4360   -7681.0811  0.3100 
   00023    0.4264   -7731.2458  0.3144 
   00024    0.4516   -7770.0059  0.3095 
   00025    0.4364   -7801.1447  0.3180 
   00026    0.4328   -7805.0489  0.3198 
   00027    0.4256   -7849.3672  0.3181 
   00028    0.4240   -7855.5052  0.3200 
   00029    0.4300   -7848.2412  0.3211 
   00030    0.4380   -7891.2628  0.3175 
   00031    0.4396   -7874.2958  0.3101 
   00032    0.4308   -7894.6946  0.3069 
   00033    0.4156   -7935.1237  0.3038 
   00034    0.4272   -7963.5146  0.3006 
   00035    0.4384   -7979.2811  0.3040 
   00036    0.4400   -7964.9472  0.2995 
   00037    0.4408   -7969.5656  0.2955 
   00038    0.4336   -7942.2348  0.2937 
   00039    0.4392   -7963.5269  0.2879 
   00040    0.4264   -7994.8029  0.2942 
   00041    0.4384   -8046.3955  0.2899 
   00042    0.4352   -8060.3927  0.2873 
   00043    0.4452   -8063.3219  0.2884 
   00044    0.4388   -8106.2945  0.2873 
   00045    0.4452   -8081.1766  0.2900 
   00046    0.4400   -8085.7025  0.2915 
   00047    0.4364   -8090.1201  0.2933 
   00048    0.4316   -8131.5571  0.2920 
   00049    0.4488   -8166.4870  0.2852 
   00050    0.4408   -8132.9627  0.2887 
